returncode	checker	bc_file	stdout_file	stderr_file	elapsed_seconds
0	leak	workspace/bash-bc/objects/alias.bc	-	outputs/saber/bash/workspace__bash-bc__objects__alias.leak.stderr.txt	0.165
0	dfree	workspace/bash-bc/objects/alias.bc	-	-	0.042
0	fileck	workspace/bash-bc/objects/alias.bc	-	-	0.032
0	null-deref	workspace/bash-bc/objects/alias.bc	-	outputs/saber/bash/workspace__bash-bc__objects__alias.null-deref.stderr.txt	0.032
0	leak	workspace/bash-bc/objects/array.bc	-	outputs/saber/bash/workspace__bash-bc__objects__array.leak.stderr.txt	0.465
0	dfree	workspace/bash-bc/objects/array.bc	-	outputs/saber/bash/workspace__bash-bc__objects__array.dfree.stderr.txt	0.465
0	fileck	workspace/bash-bc/objects/array.bc	-	-	0.065
0	null-deref	workspace/bash-bc/objects/array.bc	-	outputs/saber/bash/workspace__bash-bc__objects__array.null-deref.stderr.txt	0.465
0	leak	workspace/bash-bc/objects/arrayfunc.bc	-	outputs/saber/bash/workspace__bash-bc__objects__arrayfunc.leak.stderr.txt	0.114
0	dfree	workspace/bash-bc/objects/arrayfunc.bc	-	-	0.114
0	fileck	workspace/bash-bc/objects/arrayfunc.bc	-	-	0.064
0	null-deref	workspace/bash-bc/objects/arrayfunc.bc	-	outputs/saber/bash/workspace__bash-bc__objects__arrayfunc.null-deref.stderr.txt	0.114
0	leak	workspace/bash-bc/objects/assoc.bc	-	-	0.066
0	dfree	workspace/bash-bc/objects/assoc.bc	-	-	0.065
0	fileck	workspace/bash-bc/objects/assoc.bc	-	-	0.042
0	null-deref	workspace/bash-bc/objects/assoc.bc	-	-	0.064
0	leak	workspace/bash-bc/objects/bashhist.bc	-	outputs/saber/bash/workspace__bash-bc__objects__bashhist.leak.stderr.txt	0.066
0	dfree	workspace/bash-bc/objects/bashhist.bc	-	-	0.064
0	fileck	workspace/bash-bc/objects/bashhist.bc	-	-	0.032
0	null-deref	workspace/bash-bc/objects/bashhist.bc	-	outputs/saber/bash/workspace__bash-bc__objects__bashhist.null-deref.stderr.txt	0.064
0	leak	workspace/bash-bc/objects/bashline.bc	-	outputs/saber/bash/workspace__bash-bc__objects__bashline.leak.stderr.txt	18.313
0	dfree	workspace/bash-bc/objects/bashline.bc	-	outputs/saber/bash/workspace__bash-bc__objects__bashline.dfree.stderr.txt	18.219
0	fileck	workspace/bash-bc/objects/bashline.bc	-	-	0.215
0	null-deref	workspace/bash-bc/objects/bashline.bc	-	outputs/saber/bash/workspace__bash-bc__objects__bashline.null-deref.stderr.txt	18.713
0	leak	workspace/bash-bc/objects/bracecomp.bc	-	-	0.064
