returncode	checker	bc_file	stdout_file	stderr_file	elapsed_seconds
0	leak	workspace/ffmpeg-bc/objects/libavcodec/012v.bc	-	-	0.115
0	dfree	workspace/ffmpeg-bc/objects/libavcodec/012v.bc	-	-	0.033
0	fileck	workspace/ffmpeg-bc/objects/libavcodec/012v.bc	-	-	0.034
0	null-deref	workspace/ffmpeg-bc/objects/libavcodec/012v.bc	-	-	0.032
0	leak	workspace/ffmpeg-bc/objects/libavcodec/4xm.bc	-	outputs/saber/ffmpeg/workspace__ffmpeg-bc__objects__libavcodec__4xm.leak.stderr.txt	0.114
0	dfree	workspace/ffmpeg-bc/objects/libavcodec/4xm.bc	-	-	0.115
0	fileck	workspace/ffmpeg-bc/objects/libavcodec/4xm.bc	-	-	0.115
0	null-deref	workspace/ffmpeg-bc/objects/libavcodec/4xm.bc	-	outputs/saber/ffmpeg/workspace__ffmpeg-bc__objects__libavcodec__4xm.null-deref.stderr.txt	0.115
0	leak	workspace/ffmpeg-bc/objects/libavcodec/8bps.bc	-	-	0.032
0	dfree	workspace/ffmpeg-bc/objects/libavcodec/8bps.bc	-	-	0.032
0	fileck	workspace/ffmpeg-bc/objects/libavcodec/8bps.bc	-	-	0.032
0	null-deref	workspace/ffmpeg-bc/objects/libavcodec/8bps.bc	-	-	0.032
0	leak	workspace/ffmpeg-bc/objects/libavcodec/8svx.bc	-	outputs/saber/ffmpeg/workspace__ffmpeg-bc__objects__libavcodec__8svx.leak.stderr.txt	0.033
0	dfree	workspace/ffmpeg-bc/objects/libavcodec/8svx.bc	-	-	0.032
0	fileck	workspace/ffmpeg-bc/objects/libavcodec/8svx.bc	-	-	0.032
0	null-deref	workspace/ffmpeg-bc/objects/libavcodec/8svx.bc	-	outputs/saber/ffmpeg/workspace__ffmpeg-bc__objects__libavcodec__8svx.null-deref.stderr.txt	0.032
0	leak	workspace/ffmpeg-bc/objects/libavcodec/a64multienc.bc	-	outputs/saber/ffmpeg/workspace__ffmpeg-bc__objects__libavcodec__a64multienc.leak.stderr.txt	0.064
0	dfree	workspace/ffmpeg-bc/objects/libavcodec/a64multienc.bc	-	-	0.064
0	fileck	workspace/ffmpeg-bc/objects/libavcodec/a64multienc.bc	-	-	0.033
0	null-deref	workspace/ffmpeg-bc/objects/libavcodec/a64multienc.bc	-	outputs/saber/ffmpeg/workspace__ffmpeg-bc__objects__libavcodec__a64multienc.null-deref.stderr.txt	0.032
0	leak	workspace/ffmpeg-bc/objects/libavcodec/aac/aacdec.bc	-	outputs/saber/ffmpeg/workspace__ffmpeg-bc__objects__libavcodec__aac__aacdec.leak.stderr.txt	0.215
0	dfree	workspace/ffmpeg-bc/objects/libavcodec/aac/aacdec.bc	-	-	0.215
0	fileck	workspace/ffmpeg-bc/objects/libavcodec/aac/aacdec.bc	-	-	0.215
0	null-deref	workspace/ffmpeg-bc/objects/libavcodec/aac/aacdec.bc	-	outputs/saber/ffmpeg/workspace__ffmpeg-bc__objects__libavcodec__aac__aacdec.null-deref.stderr.txt	0.215
0	leak	workspace/ffmpeg-bc/objects/libavcodec/aac/aacdec_ac.bc	-	-	0.035
0	dfree	workspace/ffmpeg-bc/objects/libavcodec/aac/aacdec_ac.bc	-	-	0.032
0	fileck	workspace/ffmpeg-bc/objects/libavcodec/aac/aacdec_ac.bc	-	-	0.032
0	null-deref	workspace/ffmpeg-bc/objects/libavcodec/aac/aacdec_ac.bc	-	-	0.032
0	leak	workspace/ffmpeg-bc/objects/libavcodec/aac/aacdec_fixed.bc	-	-	0.164
0	dfree	workspace/ffmpeg-bc/objects/libavcodec/aac/aacdec_fixed.bc	-	-	0.164
0	fileck	workspace/ffmpeg-bc/objects/libavcodec/aac/aacdec_fixed.bc	-	-	0.165
0	null-deref	workspace/ffmpeg-bc/objects/libavcodec/aac/aacdec_fixed.bc	-	-	0.164
0	leak	workspace/ffmpeg-bc/objects/libavcodec/aac/aacdec_float.bc	-	-	0.114
0	dfree	workspace/ffmpeg-bc/objects/libavcodec/aac/aacdec_float.bc	-	-	0.114
0	fileck	workspace/ffmpeg-bc/objects/libavcodec/aac/aacdec_float.bc	-	-	0.114
0	null-deref	workspace/ffmpeg-bc/objects/libavcodec/aac/aacdec_float.bc	-	-	0.114
0	leak	workspace/ffmpeg-bc/objects/libavcodec/aac/aacdec_lpd.bc	-	-	0.032
0	dfree	workspace/ffmpeg-bc/objects/libavcodec/aac/aacdec_lpd.bc	-	-	0.032
0	fileck	workspace/ffmpeg-bc/objects/libavcodec/aac/aacdec_lpd.bc	-	-	0.032
0	null-deref	workspace/ffmpeg-bc/objects/libavcodec/aac/aacdec_lpd.bc	-	-	0.032
0	leak	workspace/ffmpeg-bc/objects/libavcodec/aac/aacdec_tab.bc	-	-	0.032
0	dfree	workspace/ffmpeg-bc/objects/libavcodec/aac/aacdec_tab.bc	-	-	0.032
0	fileck	workspace/ffmpeg-bc/objects/libavcodec/aac/aacdec_tab.bc	-	-	0.032
0	null-deref	workspace/ffmpeg-bc/objects/libavcodec/aac/aacdec_tab.bc	-	-	0.032
0	leak	workspace/ffmpeg-bc/objects/libavcodec/aac/aacdec_usac.bc	-	-	0.214
0	dfree	workspace/ffmpeg-bc/objects/libavcodec/aac/aacdec_usac.bc	-	outputs/saber/ffmpeg/workspace__ffmpeg-bc__objects__libavcodec__aac__aacdec_usac.dfree.stderr.txt	0.214
0	fileck	workspace/ffmpeg-bc/objects/libavcodec/aac/aacdec_usac.bc	-	-	0.165
0	null-deref	workspace/ffmpeg-bc/objects/libavcodec/aac/aacdec_usac.bc	-	-	0.215
0	leak	workspace/ffmpeg-bc/objects/libavcodec/aac/aacdec_usac_mps212.bc	-	-	0.064
0	dfree	workspace/ffmpeg-bc/objects/libavcodec/aac/aacdec_usac_mps212.bc	-	-	0.064
0	fileck	workspace/ffmpeg-bc/objects/libavcodec/aac/aacdec_usac_mps212.bc	-	-	0.064
0	null-deref	workspace/ffmpeg-bc/objects/libavcodec/aac/aacdec_usac_mps212.bc	-	-	0.064
0	leak	workspace/ffmpeg-bc/objects/libavcodec/aac_ac3_parser.bc	-	-	0.032
0	dfree	workspace/ffmpeg-bc/objects/libavcodec/aac_ac3_parser.bc	-	-	0.032
0	fileck	workspace/ffmpeg-bc/objects/libavcodec/aac_ac3_parser.bc	-	-	0.032
0	null-deref	workspace/ffmpeg-bc/objects/libavcodec/aac_ac3_parser.bc	-	-	0.032
0	leak	workspace/ffmpeg-bc/objects/libavcodec/aac_parser.bc	-	-	0.016
0	dfree	workspace/ffmpeg-bc/objects/libavcodec/aac_parser.bc	-	-	0.016
