returncode	checker	bc_file	stdout_file	stderr_file	elapsed_seconds
0	leak	/home/lxh/Projects/NSPA/workspace/git-bc/objects/abspath.bc	-	-	0.032
0	dfree	/home/lxh/Projects/NSPA/workspace/git-bc/objects/abspath.bc	-	-	0.033
0	fileck	/home/lxh/Projects/NSPA/workspace/git-bc/objects/abspath.bc	-	-	0.032
0	null-deref	/home/lxh/Projects/NSPA/workspace/git-bc/objects/abspath.bc	-	-	0.032
0	leak	/home/lxh/Projects/NSPA/workspace/git-bc/objects/add-interactive.bc	-	/home/lxh/Projects/NSPA/outputs/saber/git/home__lxh__Projects__NSPA__workspace__git-bc__objects__add-interactive.leak.stderr.txt	0.114
0	dfree	/home/lxh/Projects/NSPA/workspace/git-bc/objects/add-interactive.bc	-	/home/lxh/Projects/NSPA/outputs/saber/git/home__lxh__Projects__NSPA__workspace__git-bc__objects__add-interactive.dfree.stderr.txt	0.114
0	fileck	/home/lxh/Projects/NSPA/workspace/git-bc/objects/add-interactive.bc	-	-	0.114
0	null-deref	/home/lxh/Projects/NSPA/workspace/git-bc/objects/add-interactive.bc	-	/home/lxh/Projects/NSPA/outputs/saber/git/home__lxh__Projects__NSPA__workspace__git-bc__objects__add-interactive.null-deref.stderr.txt	0.114
0	leak	/home/lxh/Projects/NSPA/workspace/git-bc/objects/add-patch.bc	-	/home/lxh/Projects/NSPA/outputs/saber/git/home__lxh__Projects__NSPA__workspace__git-bc__objects__add-patch.leak.stderr.txt	55.017
0	dfree	/home/lxh/Projects/NSPA/workspace/git-bc/objects/add-patch.bc	-	-	54.215
0	fileck	/home/lxh/Projects/NSPA/workspace/git-bc/objects/add-patch.bc	-	-	0.164
0	null-deref	/home/lxh/Projects/NSPA/workspace/git-bc/objects/add-patch.bc	-	/home/lxh/Projects/NSPA/outputs/saber/git/home__lxh__Projects__NSPA__workspace__git-bc__objects__add-patch.null-deref.stderr.txt	53.518
0	leak	/home/lxh/Projects/NSPA/workspace/git-bc/objects/advice.bc	-	-	0.036
0	dfree	/home/lxh/Projects/NSPA/workspace/git-bc/objects/advice.bc	-	-	0.032
0	fileck	/home/lxh/Projects/NSPA/workspace/git-bc/objects/advice.bc	-	-	0.032
0	null-deref	/home/lxh/Projects/NSPA/workspace/git-bc/objects/advice.bc	-	-	0.032
0	leak	/home/lxh/Projects/NSPA/workspace/git-bc/objects/alias.bc	-	/home/lxh/Projects/NSPA/outputs/saber/git/home__lxh__Projects__NSPA__workspace__git-bc__objects__alias.leak.stderr.txt	0.032
0	dfree	/home/lxh/Projects/NSPA/workspace/git-bc/objects/alias.bc	-	-	0.032
0	fileck	/home/lxh/Projects/NSPA/workspace/git-bc/objects/alias.bc	-	-	0.032
0	null-deref	/home/lxh/Projects/NSPA/workspace/git-bc/objects/alias.bc	-	/home/lxh/Projects/NSPA/outputs/saber/git/home__lxh__Projects__NSPA__workspace__git-bc__objects__alias.null-deref.stderr.txt	0.032
0	leak	/home/lxh/Projects/NSPA/workspace/git-bc/objects/alloc.bc	-	/home/lxh/Projects/NSPA/outputs/saber/git/home__lxh__Projects__NSPA__workspace__git-bc__objects__alloc.leak.stderr.txt	0.032
0	dfree	/home/lxh/Projects/NSPA/workspace/git-bc/objects/alloc.bc	-	-	0.032
0	fileck	/home/lxh/Projects/NSPA/workspace/git-bc/objects/alloc.bc	-	-	0.016
0	null-deref	/home/lxh/Projects/NSPA/workspace/git-bc/objects/alloc.bc	-	/home/lxh/Projects/NSPA/outputs/saber/git/home__lxh__Projects__NSPA__workspace__git-bc__objects__alloc.null-deref.stderr.txt	0.032
0	leak	/home/lxh/Projects/NSPA/workspace/git-bc/objects/apply.bc	-	/home/lxh/Projects/NSPA/outputs/saber/git/home__lxh__Projects__NSPA__workspace__git-bc__objects__apply.leak.stderr.txt	48.201
0	dfree	/home/lxh/Projects/NSPA/workspace/git-bc/objects/apply.bc	-	/home/lxh/Projects/NSPA/outputs/saber/git/home__lxh__Projects__NSPA__workspace__git-bc__objects__apply.dfree.stderr.txt	48.558
0	fileck	/home/lxh/Projects/NSPA/workspace/git-bc/objects/apply.bc	-	-	0.415
0	null-deref	/home/lxh/Projects/NSPA/workspace/git-bc/objects/apply.bc	-	/home/lxh/Projects/NSPA/outputs/saber/git/home__lxh__Projects__NSPA__workspace__git-bc__objects__apply.null-deref.stderr.txt	48.050
0	leak	/home/lxh/Projects/NSPA/workspace/git-bc/objects/archive-tar.bc	-	/home/lxh/Projects/NSPA/outputs/saber/git/home__lxh__Projects__NSPA__workspace__git-bc__objects__archive-tar.leak.stderr.txt	0.064
0	dfree	/home/lxh/Projects/NSPA/workspace/git-bc/objects/archive-tar.bc	-	-	0.064
0	fileck	/home/lxh/Projects/NSPA/workspace/git-bc/objects/archive-tar.bc	-	-	0.064
0	null-deref	/home/lxh/Projects/NSPA/workspace/git-bc/objects/archive-tar.bc	-	/home/lxh/Projects/NSPA/outputs/saber/git/home__lxh__Projects__NSPA__workspace__git-bc__objects__archive-tar.null-deref.stderr.txt	0.064
0	leak	/home/lxh/Projects/NSPA/workspace/git-bc/objects/archive-zip.bc	-	/home/lxh/Projects/NSPA/outputs/saber/git/home__lxh__Projects__NSPA__workspace__git-bc__objects__archive-zip.leak.stderr.txt	0.064
0	dfree	/home/lxh/Projects/NSPA/workspace/git-bc/objects/archive-zip.bc	-	-	0.064
0	fileck	/home/lxh/Projects/NSPA/workspace/git-bc/objects/archive-zip.bc	-	-	0.064
0	null-deref	/home/lxh/Projects/NSPA/workspace/git-bc/objects/archive-zip.bc	-	/home/lxh/Projects/NSPA/outputs/saber/git/home__lxh__Projects__NSPA__workspace__git-bc__objects__archive-zip.null-deref.stderr.txt	0.075
0	leak	/home/lxh/Projects/NSPA/workspace/git-bc/objects/archive.bc	-	/home/lxh/Projects/NSPA/outputs/saber/git/home__lxh__Projects__NSPA__workspace__git-bc__objects__archive.leak.stderr.txt	0.120
0	dfree	/home/lxh/Projects/NSPA/workspace/git-bc/objects/archive.bc	-	-	0.114
0	fileck	/home/lxh/Projects/NSPA/workspace/git-bc/objects/archive.bc	-	-	0.067
0	null-deref	/home/lxh/Projects/NSPA/workspace/git-bc/objects/archive.bc	-	/home/lxh/Projects/NSPA/outputs/saber/git/home__lxh__Projects__NSPA__workspace__git-bc__objects__archive.null-deref.stderr.txt	0.115
0	leak	/home/lxh/Projects/NSPA/workspace/git-bc/objects/attr.bc	-	/home/lxh/Projects/NSPA/outputs/saber/git/home__lxh__Projects__NSPA__workspace__git-bc__objects__attr.leak.stderr.txt	0.114
0	dfree	/home/lxh/Projects/NSPA/workspace/git-bc/objects/attr.bc	-	-	0.114
0	fileck	/home/lxh/Projects/NSPA/workspace/git-bc/objects/attr.bc	-	-	0.114
0	null-deref	/home/lxh/Projects/NSPA/workspace/git-bc/objects/attr.bc	-	/home/lxh/Projects/NSPA/outputs/saber/git/home__lxh__Projects__NSPA__workspace__git-bc__objects__attr.null-deref.stderr.txt	0.114
0	leak	/home/lxh/Projects/NSPA/workspace/git-bc/objects/base85.bc	-	-	0.016
0	dfree	/home/lxh/Projects/NSPA/workspace/git-bc/objects/base85.bc	-	-	0.016
0	fileck	/home/lxh/Projects/NSPA/workspace/git-bc/objects/base85.bc	-	-	0.016
0	null-deref	/home/lxh/Projects/NSPA/workspace/git-bc/objects/base85.bc	-	-	0.016
0	leak	/home/lxh/Projects/NSPA/workspace/git-bc/objects/bisect.bc	-	/home/lxh/Projects/NSPA/outputs/saber/git/home__lxh__Projects__NSPA__workspace__git-bc__objects__bisect.leak.stderr.txt	1.718
0	dfree	/home/lxh/Projects/NSPA/workspace/git-bc/objects/bisect.bc	-	/home/lxh/Projects/NSPA/outputs/saber/git/home__lxh__Projects__NSPA__workspace__git-bc__objects__bisect.dfree.stderr.txt	1.724
0	fileck	/home/lxh/Projects/NSPA/workspace/git-bc/objects/bisect.bc	-	-	0.114
0	null-deref	/home/lxh/Projects/NSPA/workspace/git-bc/objects/bisect.bc	-	/home/lxh/Projects/NSPA/outputs/saber/git/home__lxh__Projects__NSPA__workspace__git-bc__objects__bisect.null-deref.stderr.txt	1.668
0	leak	/home/lxh/Projects/NSPA/workspace/git-bc/objects/blame.bc	-	/home/lxh/Projects/NSPA/outputs/saber/git/home__lxh__Projects__NSPA__workspace__git-bc__objects__blame.leak.stderr.txt	94.614
0	dfree	/home/lxh/Projects/NSPA/workspace/git-bc/objects/blame.bc	-	/home/lxh/Projects/NSPA/outputs/saber/git/home__lxh__Projects__NSPA__workspace__git-bc__objects__blame.dfree.stderr.txt	96.015
0	fileck	/home/lxh/Projects/NSPA/workspace/git-bc/objects/blame.bc	-	-	0.214
0	null-deref	/home/lxh/Projects/NSPA/workspace/git-bc/objects/blame.bc	-	/home/lxh/Projects/NSPA/outputs/saber/git/home__lxh__Projects__NSPA__workspace__git-bc__objects__blame.null-deref.stderr.txt	95.871
0	leak	/home/lxh/Projects/NSPA/workspace/git-bc/objects/blob.bc	-	-	0.019
0	dfree	/home/lxh/Projects/NSPA/workspace/git-bc/objects/blob.bc	-	-	0.016
0	fileck	/home/lxh/Projects/NSPA/workspace/git-bc/objects/blob.bc	-	-	0.016
0	null-deref	/home/lxh/Projects/NSPA/workspace/git-bc/objects/blob.bc	-	-	0.016
0	leak	/home/lxh/Projects/NSPA/workspace/git-bc/objects/bloom.bc	-	/home/lxh/Projects/NSPA/outputs/saber/git/home__lxh__Projects__NSPA__workspace__git-bc__objects__bloom.leak.stderr.txt	0.064
0	dfree	/home/lxh/Projects/NSPA/workspace/git-bc/objects/bloom.bc	-	-	0.065
0	fileck	/home/lxh/Projects/NSPA/workspace/git-bc/objects/bloom.bc	-	-	0.065
0	null-deref	/home/lxh/Projects/NSPA/workspace/git-bc/objects/bloom.bc	-	/home/lxh/Projects/NSPA/outputs/saber/git/home__lxh__Projects__NSPA__workspace__git-bc__objects__bloom.null-deref.stderr.txt	0.064
0	leak	/home/lxh/Projects/NSPA/workspace/git-bc/objects/branch.bc	-	/home/lxh/Projects/NSPA/outputs/saber/git/home__lxh__Projects__NSPA__workspace__git-bc__objects__branch.leak.stderr.txt	0.064
0	dfree	/home/lxh/Projects/NSPA/workspace/git-bc/objects/branch.bc	-	-	0.064
0	fileck	/home/lxh/Projects/NSPA/workspace/git-bc/objects/branch.bc	-	-	0.064
0	null-deref	/home/lxh/Projects/NSPA/workspace/git-bc/objects/branch.bc	-	/home/lxh/Projects/NSPA/outputs/saber/git/home__lxh__Projects__NSPA__workspace__git-bc__objects__branch.null-deref.stderr.txt	0.064
0	leak	/home/lxh/Projects/NSPA/workspace/git-bc/objects/builtin/add.bc	-	/home/lxh/Projects/NSPA/outputs/saber/git/home__lxh__Projects__NSPA__workspace__git-bc__objects__builtin__add.leak.stderr.txt	0.064
0	dfree	/home/lxh/Projects/NSPA/workspace/git-bc/objects/builtin/add.bc	-	-	0.065
0	fileck	/home/lxh/Projects/NSPA/workspace/git-bc/objects/builtin/add.bc	-	-	0.064
0	null-deref	/home/lxh/Projects/NSPA/workspace/git-bc/objects/builtin/add.bc	-	/home/lxh/Projects/NSPA/outputs/saber/git/home__lxh__Projects__NSPA__workspace__git-bc__objects__builtin__add.null-deref.stderr.txt	0.064
0	leak	/home/lxh/Projects/NSPA/workspace/git-bc/objects/builtin/am.bc	-	/home/lxh/Projects/NSPA/outputs/saber/git/home__lxh__Projects__NSPA__workspace__git-bc__objects__builtin__am.leak.stderr.txt	0.615
0	dfree	/home/lxh/Projects/NSPA/workspace/git-bc/objects/builtin/am.bc	-	/home/lxh/Projects/NSPA/outputs/saber/git/home__lxh__Projects__NSPA__workspace__git-bc__objects__builtin__am.dfree.stderr.txt	0.616
0	fileck	/home/lxh/Projects/NSPA/workspace/git-bc/objects/builtin/am.bc	-	-	0.214
0	null-deref	/home/lxh/Projects/NSPA/workspace/git-bc/objects/builtin/am.bc	-	/home/lxh/Projects/NSPA/outputs/saber/git/home__lxh__Projects__NSPA__workspace__git-bc__objects__builtin__am.null-deref.stderr.txt	0.619
0	leak	/home/lxh/Projects/NSPA/workspace/git-bc/objects/builtin/annotate.bc	-	-	0.016
0	dfree	/home/lxh/Projects/NSPA/workspace/git-bc/objects/builtin/annotate.bc	-	-	0.016
0	fileck	/home/lxh/Projects/NSPA/workspace/git-bc/objects/builtin/annotate.bc	-	-	0.016
0	null-deref	/home/lxh/Projects/NSPA/workspace/git-bc/objects/builtin/annotate.bc	-	-	0.016
0	leak	/home/lxh/Projects/NSPA/workspace/git-bc/objects/builtin/apply.bc	-	-	0.016
0	dfree	/home/lxh/Projects/NSPA/workspace/git-bc/objects/builtin/apply.bc	-	-	0.016
0	fileck	/home/lxh/Projects/NSPA/workspace/git-bc/objects/builtin/apply.bc	-	-	0.016
0	null-deref	/home/lxh/Projects/NSPA/workspace/git-bc/objects/builtin/apply.bc	-	-	0.016
0	leak	/home/lxh/Projects/NSPA/workspace/git-bc/objects/builtin/archive.bc	-	/home/lxh/Projects/NSPA/outputs/saber/git/home__lxh__Projects__NSPA__workspace__git-bc__objects__builtin__archive.leak.stderr.txt	0.032
0	dfree	/home/lxh/Projects/NSPA/workspace/git-bc/objects/builtin/archive.bc	-	-	0.032
0	fileck	/home/lxh/Projects/NSPA/workspace/git-bc/objects/builtin/archive.bc	-	-	0.032
0	null-deref	/home/lxh/Projects/NSPA/workspace/git-bc/objects/builtin/archive.bc	-	/home/lxh/Projects/NSPA/outputs/saber/git/home__lxh__Projects__NSPA__workspace__git-bc__objects__builtin__archive.null-deref.stderr.txt	0.032
0	leak	/home/lxh/Projects/NSPA/workspace/git-bc/objects/builtin/backfill.bc	-	/home/lxh/Projects/NSPA/outputs/saber/git/home__lxh__Projects__NSPA__workspace__git-bc__objects__builtin__backfill.leak.stderr.txt	0.064
0	dfree	/home/lxh/Projects/NSPA/workspace/git-bc/objects/builtin/backfill.bc	-	-	0.040
0	fileck	/home/lxh/Projects/NSPA/workspace/git-bc/objects/builtin/backfill.bc	-	-	0.064
