returncode	checker	bc_file	stdout_file	stderr_file	elapsed_seconds
0	leak	workspace/htop-bc/bc/Action.bc	-	outputs/saber/htop/workspace__htop-bc__bc__Action.leak.stderr.txt	0.164
0	dfree	workspace/htop-bc/bc/Action.bc	-	-	0.064
0	fileck	workspace/htop-bc/bc/Action.bc	-	-	0.065
0	null-deref	workspace/htop-bc/bc/Action.bc	-	outputs/saber/htop/workspace__htop-bc__bc__Action.null-deref.stderr.txt	0.064
0	leak	workspace/htop-bc/bc/Affinity.bc	-	outputs/saber/htop/workspace__htop-bc__bc__Affinity.leak.stderr.txt	0.032
0	dfree	workspace/htop-bc/bc/Affinity.bc	-	-	0.032
0	fileck	workspace/htop-bc/bc/Affinity.bc	-	-	0.016
0	null-deref	workspace/htop-bc/bc/Affinity.bc	-	outputs/saber/htop/workspace__htop-bc__bc__Affinity.null-deref.stderr.txt	0.032
0	leak	workspace/htop-bc/bc/AffinityPanel.bc	-	outputs/saber/htop/workspace__htop-bc__bc__AffinityPanel.leak.stderr.txt	0.032
0	dfree	workspace/htop-bc/bc/AffinityPanel.bc	-	-	0.032
0	fileck	workspace/htop-bc/bc/AffinityPanel.bc	-	-	0.032
0	null-deref	workspace/htop-bc/bc/AffinityPanel.bc	-	outputs/saber/htop/workspace__htop-bc__bc__AffinityPanel.null-deref.stderr.txt	0.032
0	leak	workspace/htop-bc/bc/AvailableColumnsPanel.bc	-	-	0.032
0	dfree	workspace/htop-bc/bc/AvailableColumnsPanel.bc	-	-	0.032
0	fileck	workspace/htop-bc/bc/AvailableColumnsPanel.bc	-	-	0.032
0	null-deref	workspace/htop-bc/bc/AvailableColumnsPanel.bc	-	-	0.032
0	leak	workspace/htop-bc/bc/AvailableMetersPanel.bc	-	-	0.032
0	dfree	workspace/htop-bc/bc/AvailableMetersPanel.bc	-	-	0.032
0	fileck	workspace/htop-bc/bc/AvailableMetersPanel.bc	-	-	0.032
0	null-deref	workspace/htop-bc/bc/AvailableMetersPanel.bc	-	-	0.032
0	leak	workspace/htop-bc/bc/BatteryMeter.bc	-	-	0.016
0	dfree	workspace/htop-bc/bc/BatteryMeter.bc	-	-	0.016
0	fileck	workspace/htop-bc/bc/BatteryMeter.bc	-	-	0.016
0	null-deref	workspace/htop-bc/bc/BatteryMeter.bc	-	-	0.016
0	leak	workspace/htop-bc/bc/CPUMeter.bc	-	outputs/saber/htop/workspace__htop-bc__bc__CPUMeter.leak.stderr.txt	0.064
0	dfree	workspace/htop-bc/bc/CPUMeter.bc	-	-	0.064
0	fileck	workspace/htop-bc/bc/CPUMeter.bc	-	-	0.064
0	null-deref	workspace/htop-bc/bc/CPUMeter.bc	-	outputs/saber/htop/workspace__htop-bc__bc__CPUMeter.null-deref.stderr.txt	0.064
0	leak	workspace/htop-bc/bc/CRT.bc	-	-	0.032
0	dfree	workspace/htop-bc/bc/CRT.bc	-	-	0.032
0	fileck	workspace/htop-bc/bc/CRT.bc	-	-	0.032
0	null-deref	workspace/htop-bc/bc/CRT.bc	-	-	0.032
0	leak	workspace/htop-bc/bc/CategoriesPanel.bc	-	outputs/saber/htop/workspace__htop-bc__bc__CategoriesPanel.leak.stderr.txt	0.032
0	dfree	workspace/htop-bc/bc/CategoriesPanel.bc	-	-	0.032
0	fileck	workspace/htop-bc/bc/CategoriesPanel.bc	-	-	0.032
0	null-deref	workspace/htop-bc/bc/CategoriesPanel.bc	-	outputs/saber/htop/workspace__htop-bc__bc__CategoriesPanel.null-deref.stderr.txt	0.032
0	leak	workspace/htop-bc/bc/ColorsPanel.bc	-	-	0.016
0	dfree	workspace/htop-bc/bc/ColorsPanel.bc	-	-	0.016
