returncode	checker	bc_file	stdout_file	stderr_file	elapsed_seconds
0	leak	workspace/lighttpd-bc/bc/src/algo_xxhash.bc	-	-	0.114
0	dfree	workspace/lighttpd-bc/bc/src/algo_xxhash.bc	-	-	0.021
0	fileck	workspace/lighttpd-bc/bc/src/algo_xxhash.bc	-	-	0.032
0	null-deref	workspace/lighttpd-bc/bc/src/algo_xxhash.bc	-	-	0.032
0	leak	workspace/lighttpd-bc/bc/src/array.bc	-	outputs/saber/lighttpd/workspace__lighttpd-bc__bc__src__array.leak.stderr.txt	0.064
0	dfree	workspace/lighttpd-bc/bc/src/array.bc	-	-	0.064
0	fileck	workspace/lighttpd-bc/bc/src/array.bc	-	-	0.064
0	null-deref	workspace/lighttpd-bc/bc/src/array.bc	-	outputs/saber/lighttpd/workspace__lighttpd-bc__bc__src__array.null-deref.stderr.txt	0.064
0	leak	workspace/lighttpd-bc/bc/src/buffer.bc	-	-	0.066
0	dfree	workspace/lighttpd-bc/bc/src/buffer.bc	-	-	0.064
0	fileck	workspace/lighttpd-bc/bc/src/buffer.bc	-	-	0.064
0	null-deref	workspace/lighttpd-bc/bc/src/buffer.bc	-	-	0.072
0	leak	workspace/lighttpd-bc/bc/src/ck.bc	-	-	0.032
0	dfree	workspace/lighttpd-bc/bc/src/ck.bc	-	-	0.032
0	fileck	workspace/lighttpd-bc/bc/src/ck.bc	-	-	0.032
0	null-deref	workspace/lighttpd-bc/bc/src/ck.bc	-	-	0.032
0	leak	workspace/lighttpd-bc/bc/src/data_config.bc	-	outputs/saber/lighttpd/workspace__lighttpd-bc__bc__src__data_config.leak.stderr.txt	0.032
0	dfree	workspace/lighttpd-bc/bc/src/data_config.bc	-	-	0.032
0	fileck	workspace/lighttpd-bc/bc/src/data_config.bc	-	-	0.016
0	null-deref	workspace/lighttpd-bc/bc/src/data_config.bc	-	outputs/saber/lighttpd/workspace__lighttpd-bc__bc__src__data_config.null-deref.stderr.txt	0.032
