returncode	checker	bc_file	stdout_file	stderr_file	elapsed_seconds
0	leak	workspace/nasm-bc/bc/asm/assemble.bc	-	-	0.314
0	dfree	workspace/nasm-bc/bc/asm/assemble.bc	-	-	0.223
0	fileck	workspace/nasm-bc/bc/asm/assemble.bc	-	-	0.264
0	null-deref	workspace/nasm-bc/bc/asm/assemble.bc	-	-	0.265
0	leak	workspace/nasm-bc/bc/asm/directbl.bc	-	-	0.021
0	dfree	workspace/nasm-bc/bc/asm/directbl.bc	-	-	0.013
0	fileck	workspace/nasm-bc/bc/asm/directbl.bc	-	-	0.016
0	null-deref	workspace/nasm-bc/bc/asm/directbl.bc	-	-	0.016
0	leak	workspace/nasm-bc/bc/asm/directiv.bc	-	-	0.064
0	dfree	workspace/nasm-bc/bc/asm/directiv.bc	-	-	0.064
0	fileck	workspace/nasm-bc/bc/asm/directiv.bc	-	-	0.064
0	null-deref	workspace/nasm-bc/bc/asm/directiv.bc	-	-	0.035
0	leak	workspace/nasm-bc/bc/asm/error.bc	-	outputs/saber/nasm/workspace__nasm-bc__bc__asm__error.leak.stderr.txt	0.064
0	dfree	workspace/nasm-bc/bc/asm/error.bc	-	-	0.064
0	fileck	workspace/nasm-bc/bc/asm/error.bc	-	-	0.064
0	null-deref	workspace/nasm-bc/bc/asm/error.bc	-	outputs/saber/nasm/workspace__nasm-bc__bc__asm__error.null-deref.stderr.txt	0.064
0	leak	workspace/nasm-bc/bc/asm/eval.bc	-	outputs/saber/nasm/workspace__nasm-bc__bc__asm__eval.leak.stderr.txt	0.114
0	dfree	workspace/nasm-bc/bc/asm/eval.bc	-	-	0.114
0	fileck	workspace/nasm-bc/bc/asm/eval.bc	-	-	0.064
0	null-deref	workspace/nasm-bc/bc/asm/eval.bc	-	outputs/saber/nasm/workspace__nasm-bc__bc__asm__eval.null-deref.stderr.txt	0.122
0	leak	workspace/nasm-bc/bc/asm/exprdump.bc	-	-	0.018
0	dfree	workspace/nasm-bc/bc/asm/exprdump.bc	-	-	0.016
0	fileck	workspace/nasm-bc/bc/asm/exprdump.bc	-	-	0.016
0	null-deref	workspace/nasm-bc/bc/asm/exprdump.bc	-	-	0.016
0	leak	workspace/nasm-bc/bc/asm/exprlib.bc	-	-	0.032
0	dfree	workspace/nasm-bc/bc/asm/exprlib.bc	-	-	0.032
0	fileck	workspace/nasm-bc/bc/asm/exprlib.bc	-	-	0.016
0	null-deref	workspace/nasm-bc/bc/asm/exprlib.bc	-	-	0.016
0	leak	workspace/nasm-bc/bc/asm/floats.bc	-	-	0.064
0	dfree	workspace/nasm-bc/bc/asm/floats.bc	-	-	0.069
0	fileck	workspace/nasm-bc/bc/asm/floats.bc	-	-	0.070
0	null-deref	workspace/nasm-bc/bc/asm/floats.bc	-	-	0.064
0	leak	workspace/nasm-bc/bc/asm/getbool.bc	-	-	0.013
0	dfree	workspace/nasm-bc/bc/asm/getbool.bc	-	-	0.017
0	fileck	workspace/nasm-bc/bc/asm/getbool.bc	-	-	0.016
0	null-deref	workspace/nasm-bc/bc/asm/getbool.bc	-	-	0.016
0	leak	workspace/nasm-bc/bc/asm/labels.bc	-	outputs/saber/nasm/workspace__nasm-bc__bc__asm__labels.leak.stderr.txt	0.064
0	dfree	workspace/nasm-bc/bc/asm/labels.bc	-	-	0.064
0	fileck	workspace/nasm-bc/bc/asm/labels.bc	-	-	0.038
0	null-deref	workspace/nasm-bc/bc/asm/labels.bc	-	outputs/saber/nasm/workspace__nasm-bc__bc__asm__labels.null-deref.stderr.txt	0.064
0	leak	workspace/nasm-bc/bc/asm/listing.bc	-	-	0.032
0	dfree	workspace/nasm-bc/bc/asm/listing.bc	-	-	0.032
0	fileck	workspace/nasm-bc/bc/asm/listing.bc	-	-	0.032
0	null-deref	workspace/nasm-bc/bc/asm/listing.bc	-	-	0.032
0	leak	workspace/nasm-bc/bc/asm/nasm.bc	-	outputs/saber/nasm/workspace__nasm-bc__bc__asm__nasm.leak.stderr.txt	0.165
0	dfree	workspace/nasm-bc/bc/asm/nasm.bc	-	outputs/saber/nasm/workspace__nasm-bc__bc__asm__nasm.dfree.stderr.txt	0.168
0	fileck	workspace/nasm-bc/bc/asm/nasm.bc	-	-	0.114
0	null-deref	workspace/nasm-bc/bc/asm/nasm.bc	-	outputs/saber/nasm/workspace__nasm-bc__bc__asm__nasm.null-deref.stderr.txt	0.165
0	leak	workspace/nasm-bc/bc/asm/parser.bc	-	-	0.315
0	dfree	workspace/nasm-bc/bc/asm/parser.bc	-	outputs/saber/nasm/workspace__nasm-bc__bc__asm__parser.dfree.stderr.txt	0.314
0	fileck	workspace/nasm-bc/bc/asm/parser.bc	-	-	0.114
