returncode	checker	bc_file	stdout_file	stderr_file	elapsed_seconds
0	leak	workspace/redis-bc/bc/src/acl.bc	-	outputs/saber/redis/workspace__redis-bc__bc__src__acl.leak.stderr.txt	5.278
0	dfree	workspace/redis-bc/bc/src/acl.bc	-	outputs/saber/redis/workspace__redis-bc__bc__src__acl.dfree.stderr.txt	5.127
0	fileck	workspace/redis-bc/bc/src/acl.bc	-	outputs/saber/redis/workspace__redis-bc__bc__src__acl.fileck.stderr.txt	0.214
0	null-deref	workspace/redis-bc/bc/src/acl.bc	-	outputs/saber/redis/workspace__redis-bc__bc__src__acl.null-deref.stderr.txt	5.177
0	leak	workspace/redis-bc/bc/src/adlist.bc	-	outputs/saber/redis/workspace__redis-bc__bc__src__adlist.leak.stderr.txt	0.066
0	dfree	workspace/redis-bc/bc/src/adlist.bc	-	outputs/saber/redis/workspace__redis-bc__bc__src__adlist.dfree.stderr.txt	0.064
0	fileck	workspace/redis-bc/bc/src/adlist.bc	-	-	0.032
0	null-deref	workspace/redis-bc/bc/src/adlist.bc	-	outputs/saber/redis/workspace__redis-bc__bc__src__adlist.null-deref.stderr.txt	0.064
0	leak	workspace/redis-bc/bc/src/ae.bc	-	outputs/saber/redis/workspace__redis-bc__bc__src__ae.leak.stderr.txt	0.064
0	dfree	workspace/redis-bc/bc/src/ae.bc	-	-	0.064
0	fileck	workspace/redis-bc/bc/src/ae.bc	-	-	0.064
0	null-deref	workspace/redis-bc/bc/src/ae.bc	-	outputs/saber/redis/workspace__redis-bc__bc__src__ae.null-deref.stderr.txt	0.042
0	leak	workspace/redis-bc/bc/src/anet.bc	-	-	0.064
0	dfree	workspace/redis-bc/bc/src/anet.bc	-	-	0.064
0	fileck	workspace/redis-bc/bc/src/anet.bc	-	-	0.064
0	null-deref	workspace/redis-bc/bc/src/anet.bc	-	-	0.064
0	leak	workspace/redis-bc/bc/src/aof.bc	-	outputs/saber/redis/workspace__redis-bc__bc__src__aof.leak.stderr.txt	1.518
0	dfree	workspace/redis-bc/bc/src/aof.bc	-	-	1.468
0	fileck	workspace/redis-bc/bc/src/aof.bc	-	outputs/saber/redis/workspace__redis-bc__bc__src__aof.fileck.stderr.txt	0.215
0	null-deref	workspace/redis-bc/bc/src/aof.bc	-	outputs/saber/redis/workspace__redis-bc__bc__src__aof.null-deref.stderr.txt	1.518
0	leak	workspace/redis-bc/bc/src/bio.bc	-	outputs/saber/redis/workspace__redis-bc__bc__src__bio.leak.stderr.txt	0.032
0	dfree	workspace/redis-bc/bc/src/bio.bc	-	-	0.032
0	fileck	workspace/redis-bc/bc/src/bio.bc	-	-	0.032
0	null-deref	workspace/redis-bc/bc/src/bio.bc	-	outputs/saber/redis/workspace__redis-bc__bc__src__bio.null-deref.stderr.txt	0.032
0	leak	workspace/redis-bc/bc/src/bitops.bc	-	outputs/saber/redis/workspace__redis-bc__bc__src__bitops.leak.stderr.txt	0.214
0	dfree	workspace/redis-bc/bc/src/bitops.bc	-	outputs/saber/redis/workspace__redis-bc__bc__src__bitops.dfree.stderr.txt	0.215
0	fileck	workspace/redis-bc/bc/src/bitops.bc	-	-	0.115
0	null-deref	workspace/redis-bc/bc/src/bitops.bc	-	outputs/saber/redis/workspace__redis-bc__bc__src__bitops.null-deref.stderr.txt	0.215
0	leak	workspace/redis-bc/bc/src/blocked.bc	-	outputs/saber/redis/workspace__redis-bc__bc__src__blocked.leak.stderr.txt	0.067
0	dfree	workspace/redis-bc/bc/src/blocked.bc	-	-	0.076
0	fileck	workspace/redis-bc/bc/src/blocked.bc	-	-	0.068
0	null-deref	workspace/redis-bc/bc/src/blocked.bc	-	outputs/saber/redis/workspace__redis-bc__bc__src__blocked.null-deref.stderr.txt	0.064
0	leak	workspace/redis-bc/bc/src/call_reply.bc	-	outputs/saber/redis/workspace__redis-bc__bc__src__call_reply.leak.stderr.txt	0.064
0	dfree	workspace/redis-bc/bc/src/call_reply.bc	-	-	0.032
0	fileck	workspace/redis-bc/bc/src/call_reply.bc	-	-	0.032
0	null-deref	workspace/redis-bc/bc/src/call_reply.bc	-	outputs/saber/redis/workspace__redis-bc__bc__src__call_reply.null-deref.stderr.txt	0.064
0	leak	workspace/redis-bc/bc/src/childinfo.bc	-	-	0.032
0	dfree	workspace/redis-bc/bc/src/childinfo.bc	-	-	0.032
0	fileck	workspace/redis-bc/bc/src/childinfo.bc	-	-	0.032
0	null-deref	workspace/redis-bc/bc/src/childinfo.bc	-	-	0.032
0	leak	workspace/redis-bc/bc/src/chk.bc	-	-	0.064
0	dfree	workspace/redis-bc/bc/src/chk.bc	-	-	0.064
0	fileck	workspace/redis-bc/bc/src/chk.bc	-	-	0.064
0	null-deref	workspace/redis-bc/bc/src/chk.bc	-	-	0.037
0	leak	workspace/redis-bc/bc/src/cli_commands.bc	-	-	0.265
0	dfree	workspace/redis-bc/bc/src/cli_commands.bc	-	-	0.265
0	fileck	workspace/redis-bc/bc/src/cli_commands.bc	-	-	0.265
0	null-deref	workspace/redis-bc/bc/src/cli_commands.bc	-	-	0.265
0	leak	workspace/redis-bc/bc/src/cli_common.bc	-	-	0.032
0	dfree	workspace/redis-bc/bc/src/cli_common.bc	-	-	0.032
0	fileck	workspace/redis-bc/bc/src/cli_common.bc	-	-	0.032
0	null-deref	workspace/redis-bc/bc/src/cli_common.bc	-	-	0.032
0	leak	workspace/redis-bc/bc/src/cluster.bc	-	outputs/saber/redis/workspace__redis-bc__bc__src__cluster.leak.stderr.txt	0.315
0	dfree	workspace/redis-bc/bc/src/cluster.bc	-	outputs/saber/redis/workspace__redis-bc__bc__src__cluster.dfree.stderr.txt	0.315
0	fileck	workspace/redis-bc/bc/src/cluster.bc	-	-	0.164
0	null-deref	workspace/redis-bc/bc/src/cluster.bc	-	outputs/saber/redis/workspace__redis-bc__bc__src__cluster.null-deref.stderr.txt	0.315
0	leak	workspace/redis-bc/bc/src/cluster_asm.bc	-	outputs/saber/redis/workspace__redis-bc__bc__src__cluster_asm.leak.stderr.txt	0.215
0	dfree	workspace/redis-bc/bc/src/cluster_asm.bc	-	-	0.214
0	fileck	workspace/redis-bc/bc/src/cluster_asm.bc	-	-	0.215
0	null-deref	workspace/redis-bc/bc/src/cluster_asm.bc	-	outputs/saber/redis/workspace__redis-bc__bc__src__cluster_asm.null-deref.stderr.txt	0.214
0	leak	workspace/redis-bc/bc/src/cluster_legacy.bc	-	outputs/saber/redis/workspace__redis-bc__bc__src__cluster_legacy.leak.stderr.txt	0.566
0	dfree	workspace/redis-bc/bc/src/cluster_legacy.bc	-	outputs/saber/redis/workspace__redis-bc__bc__src__cluster_legacy.dfree.stderr.txt	0.566
0	fileck	workspace/redis-bc/bc/src/cluster_legacy.bc	-	-	0.515
0	null-deref	workspace/redis-bc/bc/src/cluster_legacy.bc	-	outputs/saber/redis/workspace__redis-bc__bc__src__cluster_legacy.null-deref.stderr.txt	0.566
0	leak	workspace/redis-bc/bc/src/cluster_slot_stats.bc	-	-	0.032
0	dfree	workspace/redis-bc/bc/src/cluster_slot_stats.bc	-	-	0.032
0	fileck	workspace/redis-bc/bc/src/cluster_slot_stats.bc	-	-	0.032
0	null-deref	workspace/redis-bc/bc/src/cluster_slot_stats.bc	-	-	0.032
0	leak	workspace/redis-bc/bc/src/commands.bc	-	-	0.415
