returncode	checker	bc_file	stdout_file	stderr_file	elapsed_seconds
0	leak	workspace/screen-bc/bc/acls.bc	-	-	3.222
0	dfree	workspace/screen-bc/bc/acls.bc	-	outputs/saber/screen/workspace__screen-bc__bc__acls.dfree.stderr.txt	3.172
0	fileck	workspace/screen-bc/bc/acls.bc	-	-	0.064
0	null-deref	workspace/screen-bc/bc/acls.bc	-	-	3.171
0	leak	workspace/screen-bc/bc/ansi.bc	-	outputs/saber/screen/workspace__screen-bc__bc__ansi.leak.stderr.txt	0.215
0	dfree	workspace/screen-bc/bc/ansi.bc	-	-	0.214
0	fileck	workspace/screen-bc/bc/ansi.bc	-	-	0.214
0	null-deref	workspace/screen-bc/bc/ansi.bc	-	outputs/saber/screen/workspace__screen-bc__bc__ansi.null-deref.stderr.txt	0.215
0	leak	workspace/screen-bc/bc/attacher.bc	-	-	0.042
0	dfree	workspace/screen-bc/bc/attacher.bc	-	-	0.032
0	fileck	workspace/screen-bc/bc/attacher.bc	-	-	0.032
0	null-deref	workspace/screen-bc/bc/attacher.bc	-	-	0.064
0	leak	workspace/screen-bc/bc/backtick.bc	-	outputs/saber/screen/workspace__screen-bc__bc__backtick.leak.stderr.txt	0.064
0	dfree	workspace/screen-bc/bc/backtick.bc	-	-	0.073
0	fileck	workspace/screen-bc/bc/backtick.bc	-	-	0.023
0	null-deref	workspace/screen-bc/bc/backtick.bc	-	outputs/saber/screen/workspace__screen-bc__bc__backtick.null-deref.stderr.txt	0.064
0	leak	workspace/screen-bc/bc/canvas.bc	-	outputs/saber/screen/workspace__screen-bc__bc__canvas.leak.stderr.txt	0.565
0	dfree	workspace/screen-bc/bc/canvas.bc	-	outputs/saber/screen/workspace__screen-bc__bc__canvas.dfree.stderr.txt	0.615
0	fileck	workspace/screen-bc/bc/canvas.bc	-	-	0.064
0	null-deref	workspace/screen-bc/bc/canvas.bc	-	outputs/saber/screen/workspace__screen-bc__bc__canvas.null-deref.stderr.txt	0.615
0	leak	workspace/screen-bc/bc/comm.bc	-	-	0.032
0	dfree	workspace/screen-bc/bc/comm.bc	-	-	0.032
0	fileck	workspace/screen-bc/bc/comm.bc	-	-	0.032
0	null-deref	workspace/screen-bc/bc/comm.bc	-	-	0.032
0	leak	workspace/screen-bc/bc/display.bc	-	-	27.086
0	dfree	workspace/screen-bc/bc/display.bc	-	outputs/saber/screen/workspace__screen-bc__bc__display.dfree.stderr.txt	27.037
0	fileck	workspace/screen-bc/bc/display.bc	-	-	0.366
0	null-deref	workspace/screen-bc/bc/display.bc	-	-	27.989
0	leak	workspace/screen-bc/bc/encoding.bc	-	-	0.665
0	dfree	workspace/screen-bc/bc/encoding.bc	-	outputs/saber/screen/workspace__screen-bc__bc__encoding.dfree.stderr.txt	0.716
0	fileck	workspace/screen-bc/bc/encoding.bc	-	-	0.114
