returncode	checker	bc_file	stdout_file	stderr_file	elapsed_seconds
0	leak	workspace/vim-bc/objects/src/objects/alloc.bc	-	-	0.064
0	dfree	workspace/vim-bc/objects/src/objects/alloc.bc	-	-	0.036
0	fileck	workspace/vim-bc/objects/src/objects/alloc.bc	-	-	0.032
0	null-deref	workspace/vim-bc/objects/src/objects/alloc.bc	-	-	0.032
0	leak	workspace/vim-bc/objects/src/objects/arabic.bc	-	-	0.032
0	dfree	workspace/vim-bc/objects/src/objects/arabic.bc	-	-	0.032
0	fileck	workspace/vim-bc/objects/src/objects/arabic.bc	-	-	0.032
0	null-deref	workspace/vim-bc/objects/src/objects/arabic.bc	-	-	0.032
0	leak	workspace/vim-bc/objects/src/objects/arglist.bc	-	outputs/saber/vim/workspace__vim-bc__objects__src__objects__arglist.leak.stderr.txt	0.114
0	dfree	workspace/vim-bc/objects/src/objects/arglist.bc	-	-	0.114
0	fileck	workspace/vim-bc/objects/src/objects/arglist.bc	-	-	0.064
0	null-deref	workspace/vim-bc/objects/src/objects/arglist.bc	-	outputs/saber/vim/workspace__vim-bc__objects__src__objects__arglist.null-deref.stderr.txt	0.114
0	leak	workspace/vim-bc/objects/src/objects/autocmd.bc	-	outputs/saber/vim/workspace__vim-bc__objects__src__objects__autocmd.leak.stderr.txt	16.156
0	dfree	workspace/vim-bc/objects/src/objects/autocmd.bc	-	outputs/saber/vim/workspace__vim-bc__objects__src__objects__autocmd.dfree.stderr.txt	16.310
0	fileck	workspace/vim-bc/objects/src/objects/autocmd.bc	-	-	0.165
0	null-deref	workspace/vim-bc/objects/src/objects/autocmd.bc	-	outputs/saber/vim/workspace__vim-bc__objects__src__objects__autocmd.null-deref.stderr.txt	16.205
0	leak	workspace/vim-bc/objects/src/objects/beval.bc	-	outputs/saber/vim/workspace__vim-bc__objects__src__objects__beval.leak.stderr.txt	0.037
0	dfree	workspace/vim-bc/objects/src/objects/beval.bc	-	outputs/saber/vim/workspace__vim-bc__objects__src__objects__beval.dfree.stderr.txt	0.032
0	fileck	workspace/vim-bc/objects/src/objects/beval.bc	-	-	0.032
0	null-deref	workspace/vim-bc/objects/src/objects/beval.bc	-	outputs/saber/vim/workspace__vim-bc__objects__src__objects__beval.null-deref.stderr.txt	0.032
0	leak	workspace/vim-bc/objects/src/objects/blob.bc	-	outputs/saber/vim/workspace__vim-bc__objects__src__objects__blob.leak.stderr.txt	0.064
0	dfree	workspace/vim-bc/objects/src/objects/blob.bc	-	outputs/saber/vim/workspace__vim-bc__objects__src__objects__blob.dfree.stderr.txt	0.064
0	fileck	workspace/vim-bc/objects/src/objects/blob.bc	-	-	0.064
0	null-deref	workspace/vim-bc/objects/src/objects/blob.bc	-	outputs/saber/vim/workspace__vim-bc__objects__src__objects__blob.null-deref.stderr.txt	0.064
0	leak	workspace/vim-bc/objects/src/objects/blowfish.bc	-	-	0.065
0	dfree	workspace/vim-bc/objects/src/objects/blowfish.bc	-	-	0.064
0	fileck	workspace/vim-bc/objects/src/objects/blowfish.bc	-	-	0.064
0	null-deref	workspace/vim-bc/objects/src/objects/blowfish.bc	-	-	0.065
124	leak	workspace/vim-bc/objects/src/objects/buffer.bc	-	outputs/saber/vim/workspace__vim-bc__objects__src__objects__buffer.leak.stderr.txt	120.006
124	dfree	workspace/vim-bc/objects/src/objects/buffer.bc	-	outputs/saber/vim/workspace__vim-bc__objects__src__objects__buffer.dfree.stderr.txt	120.005
0	fileck	workspace/vim-bc/objects/src/objects/buffer.bc	-	-	0.314
124	null-deref	workspace/vim-bc/objects/src/objects/buffer.bc	-	outputs/saber/vim/workspace__vim-bc__objects__src__objects__buffer.null-deref.stderr.txt	120.002
0	leak	workspace/vim-bc/objects/src/objects/bufwrite.bc	-	-	0.114
0	dfree	workspace/vim-bc/objects/src/objects/bufwrite.bc	-	-	0.114
0	fileck	workspace/vim-bc/objects/src/objects/bufwrite.bc	-	-	0.114
0	null-deref	workspace/vim-bc/objects/src/objects/bufwrite.bc	-	-	0.114
0	leak	workspace/vim-bc/objects/src/objects/change.bc	-	outputs/saber/vim/workspace__vim-bc__objects__src__objects__change.leak.stderr.txt	0.164
0	dfree	workspace/vim-bc/objects/src/objects/change.bc	-	-	0.164
0	fileck	workspace/vim-bc/objects/src/objects/change.bc	-	-	0.123
0	null-deref	workspace/vim-bc/objects/src/objects/change.bc	-	outputs/saber/vim/workspace__vim-bc__objects__src__objects__change.null-deref.stderr.txt	0.164
0	leak	workspace/vim-bc/objects/src/objects/channel.bc	-	outputs/saber/vim/workspace__vim-bc__objects__src__objects__channel.leak.stderr.txt	19.110
0	dfree	workspace/vim-bc/objects/src/objects/channel.bc	-	outputs/saber/vim/workspace__vim-bc__objects__src__objects__channel.dfree.stderr.txt	19.311
0	fileck	workspace/vim-bc/objects/src/objects/channel.bc	-	-	0.265
0	null-deref	workspace/vim-bc/objects/src/objects/channel.bc	-	outputs/saber/vim/workspace__vim-bc__objects__src__objects__channel.null-deref.stderr.txt	19.611
0	leak	workspace/vim-bc/objects/src/objects/charset.bc	-	outputs/saber/vim/workspace__vim-bc__objects__src__objects__charset.leak.stderr.txt	0.164
0	dfree	workspace/vim-bc/objects/src/objects/charset.bc	-	outputs/saber/vim/workspace__vim-bc__objects__src__objects__charset.dfree.stderr.txt	0.167
0	fileck	workspace/vim-bc/objects/src/objects/charset.bc	-	-	0.115
0	null-deref	workspace/vim-bc/objects/src/objects/charset.bc	-	outputs/saber/vim/workspace__vim-bc__objects__src__objects__charset.null-deref.stderr.txt	0.165
0	leak	workspace/vim-bc/objects/src/objects/cindent.bc	-	-	0.315
0	dfree	workspace/vim-bc/objects/src/objects/cindent.bc	-	-	0.315
0	fileck	workspace/vim-bc/objects/src/objects/cindent.bc	-	-	0.215
0	null-deref	workspace/vim-bc/objects/src/objects/cindent.bc	-	-	0.315
0	leak	workspace/vim-bc/objects/src/objects/clientserver.bc	-	outputs/saber/vim/workspace__vim-bc__objects__src__objects__clientserver.leak.stderr.txt	0.064
0	dfree	workspace/vim-bc/objects/src/objects/clientserver.bc	-	-	0.114
0	fileck	workspace/vim-bc/objects/src/objects/clientserver.bc	-	-	0.064
0	null-deref	workspace/vim-bc/objects/src/objects/clientserver.bc	-	outputs/saber/vim/workspace__vim-bc__objects__src__objects__clientserver.null-deref.stderr.txt	0.064
0	leak	workspace/vim-bc/objects/src/objects/clipboard.bc	-	outputs/saber/vim/workspace__vim-bc__objects__src__objects__clipboard.leak.stderr.txt	0.064
0	dfree	workspace/vim-bc/objects/src/objects/clipboard.bc	-	-	0.064
0	fileck	workspace/vim-bc/objects/src/objects/clipboard.bc	-	-	0.032
0	null-deref	workspace/vim-bc/objects/src/objects/clipboard.bc	-	outputs/saber/vim/workspace__vim-bc__objects__src__objects__clipboard.null-deref.stderr.txt	0.064
0	leak	workspace/vim-bc/objects/src/objects/cmdexpand.bc	-	outputs/saber/vim/workspace__vim-bc__objects__src__objects__cmdexpand.leak.stderr.txt	4.926
0	dfree	workspace/vim-bc/objects/src/objects/cmdexpand.bc	-	outputs/saber/vim/workspace__vim-bc__objects__src__objects__cmdexpand.dfree.stderr.txt	4.881
0	fileck	workspace/vim-bc/objects/src/objects/cmdexpand.bc	-	-	0.265
