function	status	bc_file
_nl_free_domain_conv	NOT_FOUND	-
_rl_callback_data_alloc	FOUND	workspace/bash-bc/objects/lib/readline/callback.bc
_rl_callback_data_dispose	FOUND	workspace/bash-bc/objects/lib/readline/callback.bc
_rl_copy_undo_entry	FOUND	workspace/bash-bc/objects/lib/readline/undo.bc
_rl_free_history_entry	FOUND	workspace/bash-bc/objects/lib/readline/misc.bc
_rl_free_match_list	FOUND	workspace/bash-bc/objects/lib/readline/complete.bc
_rl_free_undo_list	FOUND	workspace/bash-bc/objects/lib/readline/undo.bc
_rl_keyseq_chain_dispose	FOUND	workspace/bash-bc/objects/lib/readline/readline.bc
_rl_keyseq_cxt_alloc	FOUND	workspace/bash-bc/objects/lib/readline/readline.bc
_rl_keyseq_cxt_dispose	FOUND	workspace/bash-bc/objects/lib/readline/readline.bc
_rl_make_prompt_for_search	FOUND	workspace/bash-bc/objects/lib/readline/display.bc
_rl_mvcxt_alloc	FOUND	workspace/bash-bc/objects/lib/readline/vi_mode.bc
_rl_scxt_alloc	FOUND	workspace/bash-bc/objects/lib/readline/isearch.bc
alloc_history_entry	FOUND	workspace/bash-bc/objects/lib/readline/history.bc
alloc_lvalue	NOT_FOUND	-
alloc_pipeline_saver	FOUND	workspace/bash-bc/objects/jobs.bc
alloc_undo_entry	FOUND	workspace/bash-bc/objects/lib/readline/undo.bc
alloc_word_desc	FOUND	workspace/bash-bc/objects/make_cmd.bc
alloca	NOT_FOUND	-
array_create	FOUND	workspace/bash-bc/objects/array.bc
array_dispose	FOUND	workspace/bash-bc/objects/array.bc
array_dispose_element	FOUND	workspace/bash-bc/objects/array.bc
assoc_dispose	FOUND	workspace/bash-bc/objects/assoc.bc
bash_delete_histent	FOUND	workspace/bash-bc/objects/bashhist.bc
bash_delete_history_range	FOUND	workspace/bash-bc/objects/bashhist.bc
bash_delete_last_history	FOUND	workspace/bash-bc/objects/bashhist.bc
clean_itemlist	FOUND	workspace/bash-bc/objects/pcomplete.bc
clear_fifo_list	FOUND	workspace/bash-bc/objects/subst.bc
compspec_create	FOUND	workspace/bash-bc/objects/pcomplib.bc
compspec_dispose	FOUND	workspace/bash-bc/objects/pcomplib.bc
coproc_dispose	FOUND	workspace/bash-bc/objects/execute_cmd.bc
coproc_free	NOT_FOUND	-
copy_history_entry	FOUND	workspace/bash-bc/objects/lib/readline/history.bc
delete_all_contexts	FOUND	workspace/bash-bc/objects/variables.bc
delete_all_jobs	FOUND	workspace/bash-bc/objects/jobs.bc
delete_job	FOUND	workspace/bash-bc/objects/jobs.bc
delete_var	FOUND	workspace/bash-bc/objects/variables.bc
discard_pipeline	FOUND	workspace/bash-bc/objects/jobs.bc
dispose_command	FOUND	workspace/bash-bc/objects/dispose_cmd.bc
dispose_cond_node	FOUND	workspace/bash-bc/objects/dispose_cmd.bc
dispose_exec_redirects	FOUND	workspace/bash-bc/objects/execute_cmd.bc
dispose_fd_bitmap	FOUND	workspace/bash-bc/objects/execute_cmd.bc
dispose_function_def	FOUND	workspace/bash-bc/objects/dispose_cmd.bc
dispose_mail_file	FOUND	workspace/bash-bc/objects/mailcheck.bc
dispose_partial_redirects	FOUND	workspace/bash-bc/objects/execute_cmd.bc
dispose_redirects	FOUND	workspace/bash-bc/objects/dispose_cmd.bc
dispose_var_context	FOUND	workspace/bash-bc/objects/variables.bc
dispose_variable	FOUND	workspace/bash-bc/objects/variables.bc
dispose_word	FOUND	workspace/bash-bc/objects/dispose_cmd.bc
dispose_word_array	NOT_FOUND	-
dispose_words	FOUND	workspace/bash-bc/objects/dispose_cmd.bc
expand_prompt	FOUND	workspace/bash-bc/objects/lib/readline/display.bc
free_alias_data	FOUND	workspace/bash-bc/objects/alias.bc
free_buffered_stream	FOUND	workspace/bash-bc/objects/input.bc
free_defs	NOT_FOUND	-
free_dollar_vars	FOUND	workspace/bash-bc/objects/variables.bc
free_lvalue	NOT_FOUND	-
free_mail_files	FOUND	workspace/bash-bc/objects/mailcheck.bc
free_mem	NOT_FOUND	-
free_progcomp	FOUND	workspace/bash-bc/objects/pcomplib.bc
free_pushed_string_input	FOUND	workspace/bash-bc/objects/y.tab.bc
free_saved_dollar_vars	FOUND	workspace/bash-bc/objects/variables.bc
free_string_list	FOUND	workspace/bash-bc/objects/y.tab.bc
free_trap_command	FOUND	workspace/bash-bc/objects/trap.bc
free_trap_string	FOUND	workspace/bash-bc/objects/trap.bc
free_trap_strings	FOUND	workspace/bash-bc/objects/trap.bc
free_variable_hash_data	FOUND	workspace/bash-bc/objects/variables.bc
freewords	FOUND	workspace/bash-bc/objects/lib/readline/histexpand.bc
get_bash_name	FOUND	workspace/bash-bc/objects/variables.bc
hash_dispose	FOUND	workspace/bash-bc/objects/hashlib.bc
hash_flush	FOUND	workspace/bash-bc/objects/hashlib.bc
indirection_level_string	FOUND	workspace/bash-bc/objects/print_cmd.bc
make_bare_simple_command	FOUND	workspace/bash-bc/objects/make_cmd.bc
make_default_mailpath	FOUND	workspace/bash-bc/objects/mailcheck.bc
make_func_export_array	FOUND	workspace/bash-bc/objects/variables.bc
make_named_pipe	NOT_FOUND	-
normalize_codeset	NOT_FOUND	-
procsub_free	FOUND	workspace/bash-bc/objects/jobs.bc
read_man_page	NOT_FOUND	-
rl_copy_text	FOUND	workspace/bash-bc/objects/lib/readline/util.bc
rl_discard_keymap	FOUND	workspace/bash-bc/objects/lib/readline/keymaps.bc
rl_free_keymap	FOUND	workspace/bash-bc/objects/lib/readline/keymaps.bc
rl_free_undo_list	FOUND	workspace/bash-bc/objects/lib/readline/undo.bc
rl_funmap_names	FOUND	workspace/bash-bc/objects/lib/readline/funmap.bc
rl_gets	NOT_FOUND	-
rl_make_bare_keymap	FOUND	workspace/bash-bc/objects/lib/readline/keymaps.bc
set_up_new_line	FOUND	workspace/bash-bc/objects/bashline.bc
sh_getopt_alloc_istate	FOUND	workspace/bash-bc/objects/builtins/getopt.bc
stralloc	NOT_FOUND	-
strduplicate	NOT_FOUND	-
strgrow	NOT_FOUND	-
strlist_create	FOUND	workspace/bash-bc/objects/lib/sh/stringlist.bc
strlist_dispose	FOUND	workspace/bash-bc/objects/lib/sh/stringlist.bc
strvec_create	FOUND	workspace/bash-bc/objects/lib/sh/stringvec.bc
strvec_flush	FOUND	workspace/bash-bc/objects/lib/sh/stringvec.bc
tilde_expand_word	FOUND	workspace/bash-bc/objects/lib/tilde/tilde.bc
tilde_find_word	NOT_FOUND	-
xdupmbstowcs	FOUND	workspace/bash-bc/objects/lib/glob/xmbsrtowcs.bc
xdupmbstowcs2	FOUND	workspace/bash-bc/objects/lib/glob/xmbsrtowcs.bc
xfree	FOUND	workspace/bash-bc/objects/xmalloc.bc
xmalloc	FOUND	workspace/bash-bc/objects/lib/termcap/termcap.bc
xmalloc	FOUND	workspace/bash-bc/objects/lib/termcap/tparam.bc
xmalloc	FOUND	workspace/bash-bc/objects/xmalloc.bc
xrealloc	FOUND	workspace/bash-bc/objects/lib/termcap/termcap.bc
xrealloc	FOUND	workspace/bash-bc/objects/lib/termcap/tparam.bc
xrealloc	FOUND	workspace/bash-bc/objects/xmalloc.bc
