function	status	bc_file
adaptive_model_free	FOUND	workspace/ffmpeg-bc/archive-objects/libavcodec/libavcodec/rka.bc
adaptive_model_free	FOUND	workspace/ffmpeg-bc/link-work/linked-archive-0-archive.0.ag.bc
adaptive_model_free	FOUND	workspace/ffmpeg-bc/objects/libavcodec/rka.bc
alloc_array_elem	FOUND	workspace/ffmpeg-bc/archive-objects/libavformat/libavformat/sbgdec.bc
alloc_array_elem	FOUND	workspace/ffmpeg-bc/link-work/linked-archive-0-archive.0.as.bc
alloc_array_elem	FOUND	workspace/ffmpeg-bc/objects/libavformat/sbgdec.bc
alloc_audio_frame	NOT_FOUND	-
alloc_buffer	NOT_FOUND	-
alloc_buffers	FOUND	workspace/ffmpeg-bc/archive-objects/libavcodec/libavcodec/aacenc.bc
alloc_buffers	FOUND	workspace/ffmpeg-bc/archive-objects/libavcodec/libavcodec/cfhd.bc
alloc_buffers	FOUND	workspace/ffmpeg-bc/archive-objects/libavcodec/libavcodec/diracdec.bc
alloc_buffers	FOUND	workspace/ffmpeg-bc/link-work/linked-archive-0-archive.0.ac.bc
alloc_buffers	FOUND	workspace/ffmpeg-bc/link-work/linked-archive-0-archive.0.ag.bc
alloc_buffers	FOUND	workspace/ffmpeg-bc/link-work/linked-archive-0-archive.0.al.bc
alloc_buffers	FOUND	workspace/ffmpeg-bc/objects/libavcodec/aacenc.bc
alloc_buffers	FOUND	workspace/ffmpeg-bc/objects/libavcodec/cfhd.bc
alloc_buffers	FOUND	workspace/ffmpeg-bc/objects/libavcodec/diracdec.bc
alloc_data_buf	NOT_FOUND	-
alloc_dummy_frame	FOUND	workspace/ffmpeg-bc/archive-objects/libavcodec/libavcodec/mpegvideo_dec.bc
alloc_dummy_frame	FOUND	workspace/ffmpeg-bc/archive-objects/libavcodec/libavcodec/svq3.bc
alloc_dummy_frame	FOUND	workspace/ffmpeg-bc/link-work/linked-archive-0-archive.0.ae.bc
alloc_dummy_frame	FOUND	workspace/ffmpeg-bc/link-work/linked-archive-0-archive.0.ah.bc
alloc_dummy_frame	FOUND	workspace/ffmpeg-bc/objects/libavcodec/mpegvideo_dec.bc
alloc_dummy_frame	FOUND	workspace/ffmpeg-bc/objects/libavcodec/svq3.bc
alloc_frame	FOUND	workspace/ffmpeg-bc/archive-objects/libavcodec/libavcodec/refs.bc
alloc_frame	FOUND	workspace/ffmpeg-bc/archive-objects/libavfilter/libavfilter/vf_signalstats.bc
alloc_frame	FOUND	workspace/ffmpeg-bc/link-work/linked-archive-0-archive.0.af.bc
alloc_frame	FOUND	workspace/ffmpeg-bc/link-work/linked-archive-0-archive.0.ay.bc
alloc_frame	FOUND	workspace/ffmpeg-bc/objects/libavcodec/hevc/refs.bc
alloc_frame	FOUND	workspace/ffmpeg-bc/objects/libavcodec/vvc/refs.bc
alloc_frame	FOUND	workspace/ffmpeg-bc/objects/libavfilter/vf_signalstats.bc
alloc_frame_empty	FOUND	workspace/ffmpeg-bc/archive-objects/libavfilter/libavfilter/avf_showcqt.bc
alloc_frame_empty	FOUND	workspace/ffmpeg-bc/link-work/linked-archive-0-archive.0.au.bc
alloc_frame_empty	FOUND	workspace/ffmpeg-bc/objects/libavfilter/avf_showcqt.bc
alloc_gamma_tbl	FOUND	workspace/ffmpeg-bc/archive-objects/libswscale/libswscale/utils.bc
alloc_gamma_tbl	FOUND	workspace/ffmpeg-bc/link-work/linked-archive-0-archive.0.al.bc
alloc_gamma_tbl	FOUND	workspace/ffmpeg-bc/objects/libswscale/utils.bc
alloc_hevc_header_structs	NOT_FOUND	-
alloc_huffman	FOUND	workspace/ffmpeg-bc/archive-objects/libavcodec/libavcodec/mjpegenc.bc
alloc_huffman	FOUND	workspace/ffmpeg-bc/link-work/linked-archive-0-archive.0.ak.bc
alloc_huffman	FOUND	workspace/ffmpeg-bc/objects/libavcodec/mjpegenc.bc
alloc_lut	FOUND	workspace/ffmpeg-bc/archive-objects/libavfilter/libavfilter/vf_morpho.bc
alloc_lut	FOUND	workspace/ffmpeg-bc/link-work/linked-archive-0-archive.0.ay.bc
alloc_lut	FOUND	workspace/ffmpeg-bc/objects/libavfilter/vf_morpho.bc
alloc_lut_if_necessary	FOUND	workspace/ffmpeg-bc/archive-objects/libavfilter/libavfilter/vf_morpho.bc
alloc_lut_if_necessary	FOUND	workspace/ffmpeg-bc/link-work/linked-archive-0-archive.0.ay.bc
alloc_lut_if_necessary	FOUND	workspace/ffmpeg-bc/objects/libavfilter/vf_morpho.bc
alloc_metrics	NOT_FOUND	-
alloc_picture	FOUND	workspace/ffmpeg-bc/archive-objects/libavcodec/libavcodec/h264_slice.bc
alloc_picture	FOUND	workspace/ffmpeg-bc/archive-objects/libavcodec/libavcodec/mpegvideo_dec.bc
alloc_picture	FOUND	workspace/ffmpeg-bc/link-work/linked-archive-0-archive.0.ae.bc
alloc_picture	FOUND	workspace/ffmpeg-bc/link-work/linked-archive-0-archive.0.ah.bc
alloc_picture	FOUND	workspace/ffmpeg-bc/objects/libavcodec/h264_slice.bc
alloc_picture	FOUND	workspace/ffmpeg-bc/objects/libavcodec/mpegvideo_dec.bc
alloc_plane	NOT_FOUND	-
alloc_progress	FOUND	workspace/ffmpeg-bc/archive-objects/libavcodec/libavcodec/refs.bc
alloc_progress	FOUND	workspace/ffmpeg-bc/link-work/linked-archive-0-archive.0.af.bc
alloc_progress	FOUND	workspace/ffmpeg-bc/objects/libavcodec/vvc/refs.bc
alloc_rbsp_buffer	FOUND	workspace/ffmpeg-bc/archive-objects/libavcodec/libavcodec/h2645_parse.bc
alloc_rbsp_buffer	FOUND	workspace/ffmpeg-bc/link-work/linked-archive-0-archive.0.ah.bc
alloc_rbsp_buffer	FOUND	workspace/ffmpeg-bc/objects/libavcodec/h2645_parse.bc
alloc_scratch_buffers	FOUND	workspace/ffmpeg-bc/archive-objects/libavcodec/libavcodec/h264_slice.bc
alloc_scratch_buffers	FOUND	workspace/ffmpeg-bc/link-work/linked-archive-0-archive.0.ae.bc
alloc_scratch_buffers	FOUND	workspace/ffmpeg-bc/objects/libavcodec/h264_slice.bc
alloc_sequence_buffers	FOUND	workspace/ffmpeg-bc/archive-objects/libavcodec/libavcodec/diracdec.bc
alloc_sequence_buffers	FOUND	workspace/ffmpeg-bc/link-work/linked-archive-0-archive.0.ag.bc
alloc_sequence_buffers	FOUND	workspace/ffmpeg-bc/objects/libavcodec/diracdec.bc
alloc_set_opts	FOUND	workspace/ffmpeg-bc/archive-objects/libswscale/libswscale/utils.bc
alloc_set_opts	FOUND	workspace/ffmpeg-bc/link-work/linked-archive-0-archive.0.al.bc
alloc_set_opts	FOUND	workspace/ffmpeg-bc/objects/libswscale/utils.bc
alloc_table	FOUND	workspace/ffmpeg-bc/archive-objects/libavcodec/libavcodec/vlc.bc
alloc_table	FOUND	workspace/ffmpeg-bc/link-work/linked-archive-0-archive.0.af.bc
alloc_table	FOUND	workspace/ffmpeg-bc/objects/libavcodec/vlc.bc
alloc_wrapper	NOT_FOUND	-
allocate_array_elem	NOT_FOUND	-
amf_free_amfsurface	NOT_FOUND	-
amf_pool_alloc	NOT_FOUND	-
amf_release_attached_frame_ref	NOT_FOUND	-
amf_release_surface	NOT_FOUND	-
amf_writer_alloc	NOT_FOUND	-
aom_free	NOT_FOUND	-
apv_imgb_create	NOT_FOUND	-
apv_imgb_release	NOT_FOUND	-
av1_decode_free	FOUND	workspace/ffmpeg-bc/archive-objects/libavcodec/libavcodec/av1dec.bc
av1_decode_free	FOUND	workspace/ffmpeg-bc/link-work/linked-archive-0-archive.0.af.bc
av1_decode_free	FOUND	workspace/ffmpeg-bc/objects/libavcodec/av1dec.bc
av_aes_alloc	FOUND	workspace/ffmpeg-bc/archive-objects/libavutil/libavutil/aes.bc
av_aes_alloc	FOUND	workspace/ffmpeg-bc/link-work/linked-archive-0-archive.0.am.bc
av_aes_alloc	FOUND	workspace/ffmpeg-bc/objects/libavutil/aes.bc
av_aes_ctr_alloc	FOUND	workspace/ffmpeg-bc/archive-objects/libavutil/libavutil/aes_ctr.bc
av_aes_ctr_alloc	FOUND	workspace/ffmpeg-bc/link-work/linked-archive-0-archive.0.am.bc
av_aes_ctr_alloc	FOUND	workspace/ffmpeg-bc/objects/libavutil/aes_ctr.bc
av_aes_ctr_free	FOUND	workspace/ffmpeg-bc/archive-objects/libavutil/libavutil/aes_ctr.bc
av_aes_ctr_free	FOUND	workspace/ffmpeg-bc/link-work/linked-archive-0-archive.0.am.bc
av_aes_ctr_free	FOUND	workspace/ffmpeg-bc/objects/libavutil/aes_ctr.bc
av_ambient_viewing_environment_alloc	FOUND	workspace/ffmpeg-bc/archive-objects/libavutil/libavutil/ambient_viewing_environment.bc
av_ambient_viewing_environment_alloc	FOUND	workspace/ffmpeg-bc/link-work/linked-archive-0-archive.0.am.bc
av_ambient_viewing_environment_alloc	FOUND	workspace/ffmpeg-bc/objects/libavutil/ambient_viewing_environment.bc
av_ambient_viewing_environment_create_side_data	FOUND	workspace/ffmpeg-bc/archive-objects/libavutil/libavutil/ambient_viewing_environment.bc
av_ambient_viewing_environment_create_side_data	FOUND	workspace/ffmpeg-bc/link-work/linked-archive-0-archive.0.am.bc
av_ambient_viewing_environment_create_side_data	FOUND	workspace/ffmpeg-bc/objects/libavutil/ambient_viewing_environment.bc
av_audio_fifo_alloc	FOUND	workspace/ffmpeg-bc/archive-objects/libavutil/libavutil/audio_fifo.bc
av_audio_fifo_alloc	FOUND	workspace/ffmpeg-bc/link-work/linked-archive-0-archive.0.am.bc
av_audio_fifo_alloc	FOUND	workspace/ffmpeg-bc/objects/libavutil/audio_fifo.bc
av_audio_fifo_free	FOUND	workspace/ffmpeg-bc/archive-objects/libavutil/libavutil/audio_fifo.bc
av_audio_fifo_free	FOUND	workspace/ffmpeg-bc/link-work/linked-archive-0-archive.0.am.bc
av_audio_fifo_free	FOUND	workspace/ffmpeg-bc/objects/libavutil/audio_fifo.bc
av_blowfish_alloc	FOUND	workspace/ffmpeg-bc/archive-objects/libavutil/libavutil/blowfish.bc
av_blowfish_alloc	FOUND	workspace/ffmpeg-bc/link-work/linked-archive-0-archive.0.an.bc
av_blowfish_alloc	FOUND	workspace/ffmpeg-bc/objects/libavutil/blowfish.bc
av_bprint_alloc	FOUND	workspace/ffmpeg-bc/archive-objects/libavutil/libavutil/bprint.bc
av_bprint_alloc	FOUND	workspace/ffmpeg-bc/link-work/linked-archive-0-archive.0.am.bc
av_bprint_alloc	FOUND	workspace/ffmpeg-bc/objects/libavutil/bprint.bc
av_bsf_alloc	FOUND	workspace/ffmpeg-bc/archive-objects/libavcodec/libavcodec/bsf.bc
av_bsf_alloc	FOUND	workspace/ffmpeg-bc/link-work/linked-archive-0-archive.0.al.bc
av_bsf_alloc	FOUND	workspace/ffmpeg-bc/objects/libavcodec/bsf.bc
av_bsf_free	FOUND	workspace/ffmpeg-bc/archive-objects/libavcodec/libavcodec/bsf.bc
av_bsf_free	FOUND	workspace/ffmpeg-bc/link-work/linked-archive-0-archive.0.al.bc
av_bsf_free	FOUND	workspace/ffmpeg-bc/objects/libavcodec/bsf.bc
av_bsf_list_alloc	FOUND	workspace/ffmpeg-bc/archive-objects/libavcodec/libavcodec/bsf.bc
av_bsf_list_alloc	FOUND	workspace/ffmpeg-bc/link-work/linked-archive-0-archive.0.al.bc
av_bsf_list_alloc	FOUND	workspace/ffmpeg-bc/objects/libavcodec/bsf.bc
av_bsf_list_free	FOUND	workspace/ffmpeg-bc/archive-objects/libavcodec/libavcodec/bsf.bc
av_bsf_list_free	FOUND	workspace/ffmpeg-bc/link-work/linked-archive-0-archive.0.al.bc
av_bsf_list_free	FOUND	workspace/ffmpeg-bc/objects/libavcodec/bsf.bc
av_buffer_alloc	FOUND	workspace/ffmpeg-bc/archive-objects/libavutil/libavutil/buffer.bc
av_buffer_alloc	FOUND	workspace/ffmpeg-bc/link-work/linked-archive-0-archive.0.am.bc
av_buffer_alloc	FOUND	workspace/ffmpeg-bc/objects/libavutil/buffer.bc
av_buffer_create	FOUND	workspace/ffmpeg-bc/archive-objects/libavutil/libavutil/buffer.bc
av_buffer_create	FOUND	workspace/ffmpeg-bc/link-work/linked-archive-0-archive.0.am.bc
av_buffer_create	FOUND	workspace/ffmpeg-bc/objects/libavutil/buffer.bc
av_buffer_default_free	FOUND	workspace/ffmpeg-bc/archive-objects/libavutil/libavutil/buffer.bc
av_buffer_default_free	FOUND	workspace/ffmpeg-bc/link-work/linked-archive-0-archive.0.am.bc
av_buffer_default_free	FOUND	workspace/ffmpeg-bc/objects/libavutil/buffer.bc
av_buffer_realloc	FOUND	workspace/ffmpeg-bc/archive-objects/libavutil/libavutil/buffer.bc
av_buffer_realloc	FOUND	workspace/ffmpeg-bc/link-work/linked-archive-0-archive.0.am.bc
av_buffer_realloc	FOUND	workspace/ffmpeg-bc/objects/libavutil/buffer.bc
av_buffer_ref	FOUND	workspace/ffmpeg-bc/archive-objects/libavutil/libavutil/buffer.bc
av_buffer_ref	FOUND	workspace/ffmpeg-bc/link-work/linked-archive-0-archive.0.am.bc
av_buffer_ref	FOUND	workspace/ffmpeg-bc/objects/libavutil/buffer.bc
av_buffer_unref	FOUND	workspace/ffmpeg-bc/archive-objects/libavutil/libavutil/buffer.bc
av_buffer_unref	FOUND	workspace/ffmpeg-bc/link-work/linked-archive-0-archive.0.am.bc
av_buffer_unref	FOUND	workspace/ffmpeg-bc/objects/libavutil/buffer.bc
av_buffersrc_parameters_alloc	FOUND	workspace/ffmpeg-bc/archive-objects/libavfilter/libavfilter/buffersrc.bc
av_buffersrc_parameters_alloc	FOUND	workspace/ffmpeg-bc/link-work/linked-archive-0-archive.0.av.bc
av_buffersrc_parameters_alloc	FOUND	workspace/ffmpeg-bc/objects/libavfilter/buffersrc.bc
av_calloc	FOUND	workspace/ffmpeg-bc/archive-objects/libavutil/libavutil/mem.bc
av_calloc	FOUND	workspace/ffmpeg-bc/link-work/linked-archive-0-archive.0.an.bc
av_calloc	FOUND	workspace/ffmpeg-bc/objects/libavutil/mem.bc
av_camellia_alloc	FOUND	workspace/ffmpeg-bc/archive-objects/libavutil/libavutil/camellia.bc
av_camellia_alloc	FOUND	workspace/ffmpeg-bc/link-work/linked-archive-0-archive.0.am.bc
av_camellia_alloc	FOUND	workspace/ffmpeg-bc/objects/libavutil/camellia.bc
av_cast5_alloc	FOUND	workspace/ffmpeg-bc/archive-objects/libavutil/libavutil/cast5.bc
av_cast5_alloc	FOUND	workspace/ffmpeg-bc/link-work/linked-archive-0-archive.0.am.bc
av_cast5_alloc	FOUND	workspace/ffmpeg-bc/objects/libavutil/cast5.bc
av_container_fifo_alloc_avframe	FOUND	workspace/ffmpeg-bc/archive-objects/libavutil/libavutil/container_fifo.bc
av_container_fifo_alloc_avframe	FOUND	workspace/ffmpeg-bc/link-work/linked-archive-0-archive.0.am.bc
av_container_fifo_alloc_avframe	FOUND	workspace/ffmpeg-bc/objects/libavutil/container_fifo.bc
av_container_fifo_alloc_avpacket	FOUND	workspace/ffmpeg-bc/archive-objects/libavcodec/libavcodec/packet.bc
av_container_fifo_alloc_avpacket	FOUND	workspace/ffmpeg-bc/link-work/linked-archive-0-archive.0.ag.bc
av_container_fifo_alloc_avpacket	FOUND	workspace/ffmpeg-bc/objects/libavcodec/packet.bc
av_container_fifo_free	FOUND	workspace/ffmpeg-bc/archive-objects/libavutil/libavutil/container_fifo.bc
av_container_fifo_free	FOUND	workspace/ffmpeg-bc/link-work/linked-archive-0-archive.0.am.bc
av_container_fifo_free	FOUND	workspace/ffmpeg-bc/objects/libavutil/container_fifo.bc
av_content_light_metadata_alloc	FOUND	workspace/ffmpeg-bc/archive-objects/libavutil/libavutil/mastering_display_metadata.bc
av_content_light_metadata_alloc	FOUND	workspace/ffmpeg-bc/link-work/linked-archive-0-archive.0.am.bc
