function	status	bc_file
AffinityPanel_delete	FOUND	/home/lxh/Projects/NSPA/workspace/htop-bc/bc/AffinityPanel.bc
AffinityPanel_delete	FOUND	/home/lxh/Projects/NSPA/workspace/htop-bc/project.bc
AffinityPanel_new	FOUND	/home/lxh/Projects/NSPA/workspace/htop-bc/bc/AffinityPanel.bc
AffinityPanel_new	FOUND	/home/lxh/Projects/NSPA/workspace/htop-bc/project.bc
Affinity_delete	FOUND	/home/lxh/Projects/NSPA/workspace/htop-bc/bc/Affinity.bc
Affinity_delete	FOUND	/home/lxh/Projects/NSPA/workspace/htop-bc/project.bc
Affinity_new	FOUND	/home/lxh/Projects/NSPA/workspace/htop-bc/bc/Affinity.bc
Affinity_new	FOUND	/home/lxh/Projects/NSPA/workspace/htop-bc/project.bc
AllCPUsMeter_done	FOUND	/home/lxh/Projects/NSPA/workspace/htop-bc/bc/CPUMeter.bc
AllCPUsMeter_done	FOUND	/home/lxh/Projects/NSPA/workspace/htop-bc/project.bc
AvailableColumnsPanel_delete	FOUND	/home/lxh/Projects/NSPA/workspace/htop-bc/bc/AvailableColumnsPanel.bc
AvailableColumnsPanel_delete	FOUND	/home/lxh/Projects/NSPA/workspace/htop-bc/project.bc
AvailableColumnsPanel_new	FOUND	/home/lxh/Projects/NSPA/workspace/htop-bc/bc/AvailableColumnsPanel.bc
AvailableColumnsPanel_new	FOUND	/home/lxh/Projects/NSPA/workspace/htop-bc/project.bc
AvailableMetersPanel_delete	FOUND	/home/lxh/Projects/NSPA/workspace/htop-bc/bc/AvailableMetersPanel.bc
AvailableMetersPanel_delete	FOUND	/home/lxh/Projects/NSPA/workspace/htop-bc/project.bc
AvailableMetersPanel_new	FOUND	/home/lxh/Projects/NSPA/workspace/htop-bc/bc/AvailableMetersPanel.bc
AvailableMetersPanel_new	FOUND	/home/lxh/Projects/NSPA/workspace/htop-bc/project.bc
BacktraceFrameData_delete	NOT_FOUND	-
BacktracePanelRow_delete	NOT_FOUND	-
BacktracePanel_delete	NOT_FOUND	-
BacktracePanel_new	NOT_FOUND	-
CGroup_filterContainer	FOUND	/home/lxh/Projects/NSPA/workspace/htop-bc/bc/linux/CGroupUtils.bc
CGroup_filterContainer	FOUND	/home/lxh/Projects/NSPA/workspace/htop-bc/project.bc
CGroup_filterName	FOUND	/home/lxh/Projects/NSPA/workspace/htop-bc/bc/linux/CGroupUtils.bc
CGroup_filterName	FOUND	/home/lxh/Projects/NSPA/workspace/htop-bc/project.bc
CategoriesPanel_delete	FOUND	/home/lxh/Projects/NSPA/workspace/htop-bc/bc/CategoriesPanel.bc
CategoriesPanel_delete	FOUND	/home/lxh/Projects/NSPA/workspace/htop-bc/project.bc
