function	status	bc_file
Action_new	NOT_FOUND	-
ParseFinalize	NOT_FOUND	-
Plink_new	NOT_FOUND	-
SetFree	NOT_FOUND	-
SetNew	NOT_FOUND	-
State_arrayof	NOT_FOUND	-
State_new	NOT_FOUND	-
Strsafe	NOT_FOUND	-
Symbol_arrayof	NOT_FOUND	-
Symbol_new	NOT_FOUND	-
XXH_malloc	NOT_FOUND	-
acttab_alloc	NOT_FOUND	-
acttab_free	NOT_FOUND	-
array_data_array_free	FOUND	/home/lxh/Projects/NSPA/workspace/lighttpd-bc/bc/src/array.bc
array_data_array_free	FOUND	/home/lxh/Projects/NSPA/workspace/lighttpd-bc/bc/src/lighttpd-array.bc
array_data_array_free	FOUND	/home/lxh/Projects/NSPA/workspace/lighttpd-bc/bc/src/t/test_array.bc
array_data_array_free	FOUND	/home/lxh/Projects/NSPA/workspace/lighttpd-bc/bc/src/t_test_mod-array.bc
array_data_integer_free	FOUND	/home/lxh/Projects/NSPA/workspace/lighttpd-bc/bc/src/array.bc
array_data_integer_free	FOUND	/home/lxh/Projects/NSPA/workspace/lighttpd-bc/bc/src/lighttpd-array.bc
array_data_integer_free	FOUND	/home/lxh/Projects/NSPA/workspace/lighttpd-bc/bc/src/t/test_array.bc
array_data_integer_free	FOUND	/home/lxh/Projects/NSPA/workspace/lighttpd-bc/bc/src/t_test_mod-array.bc
array_data_string_free	FOUND	/home/lxh/Projects/NSPA/workspace/lighttpd-bc/bc/src/array.bc
array_data_string_free	FOUND	/home/lxh/Projects/NSPA/workspace/lighttpd-bc/bc/src/lighttpd-array.bc
array_data_string_free	FOUND	/home/lxh/Projects/NSPA/workspace/lighttpd-bc/bc/src/t/test_array.bc
array_data_string_free	FOUND	/home/lxh/Projects/NSPA/workspace/lighttpd-bc/bc/src/t_test_mod-array.bc
array_free	FOUND	/home/lxh/Projects/NSPA/workspace/lighttpd-bc/bc/src/array.bc
array_free	FOUND	/home/lxh/Projects/NSPA/workspace/lighttpd-bc/bc/src/lighttpd-array.bc
array_free	FOUND	/home/lxh/Projects/NSPA/workspace/lighttpd-bc/bc/src/t/test_array.bc
array_free	FOUND	/home/lxh/Projects/NSPA/workspace/lighttpd-bc/bc/src/t_test_mod-array.bc
array_free_data	FOUND	/home/lxh/Projects/NSPA/workspace/lighttpd-bc/bc/src/array.bc
array_free_data	FOUND	/home/lxh/Projects/NSPA/workspace/lighttpd-bc/bc/src/lighttpd-array.bc
array_free_data	FOUND	/home/lxh/Projects/NSPA/workspace/lighttpd-bc/bc/src/t/test_array.bc
array_free_data	FOUND	/home/lxh/Projects/NSPA/workspace/lighttpd-bc/bc/src/t_test_mod-array.bc
asn1_pem_parse_mem	NOT_FOUND	-
buffer_free	FOUND	/home/lxh/Projects/NSPA/workspace/lighttpd-bc/bc/src/buffer.bc
buffer_free	FOUND	/home/lxh/Projects/NSPA/workspace/lighttpd-bc/bc/src/lighttpd-buffer.bc
buffer_free	FOUND	/home/lxh/Projects/NSPA/workspace/lighttpd-bc/bc/src/t/test_buffer.bc
buffer_free	FOUND	/home/lxh/Projects/NSPA/workspace/lighttpd-bc/bc/src/t_test_mod-buffer.bc
buffer_free_ptr	FOUND	/home/lxh/Projects/NSPA/workspace/lighttpd-bc/bc/src/buffer.bc
buffer_free_ptr	FOUND	/home/lxh/Projects/NSPA/workspace/lighttpd-bc/bc/src/lighttpd-buffer.bc
buffer_free_ptr	FOUND	/home/lxh/Projects/NSPA/workspace/lighttpd-bc/bc/src/t/test_buffer.bc
buffer_free_ptr	FOUND	/home/lxh/Projects/NSPA/workspace/lighttpd-bc/bc/src/t_test_mod-buffer.bc
buffer_init	FOUND	/home/lxh/Projects/NSPA/workspace/lighttpd-bc/bc/src/buffer.bc
buffer_init	FOUND	/home/lxh/Projects/NSPA/workspace/lighttpd-bc/bc/src/lighttpd-buffer.bc
buffer_init	FOUND	/home/lxh/Projects/NSPA/workspace/lighttpd-bc/bc/src/t/test_buffer.bc
buffer_init	FOUND	/home/lxh/Projects/NSPA/workspace/lighttpd-bc/bc/src/t_test_mod-buffer.bc
cgi_handler_ctx_free	FOUND	/home/lxh/Projects/NSPA/workspace/lighttpd-bc/bc/src/mod_cgi.bc
