function	status	bc_file
_ol_get_sect	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/output/outlib.bc
_ol_new_sym	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/output/outlib.bc
copy_name	NOT_FOUND	-
do_delete_Token	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/asm/preproc.bc
do_delete_tlist	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/asm/preproc.bc
do_delete_tlist_array	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/asm/preproc.bc
dup_Token	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/asm/preproc.bc
dup_text	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/asm/preproc.bc
dup_tlist	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/asm/preproc.bc
dup_tlist_reverse	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/asm/preproc.bc
dup_tlistn	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/asm/preproc.bc
elf_make_section	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/output/outelf.bc
expand_buffer	NOT_FOUND	-
filename_set_extension	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/nasmlib/path.bc
free_Token	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/asm/preproc.bc
free_debug_macro_addr_tree	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/asm/preproc.bc
free_debug_macro_inv_list	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/asm/preproc.bc
free_eops	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/asm/parser.bc
free_line	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/asm/preproc.bc
free_llist	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/asm/preproc.bc
free_mmacro	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/asm/preproc.bc
free_mmacro_table	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/asm/preproc.bc
free_smacro_members	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/asm/preproc.bc
free_tlist	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/asm/preproc.bc
free_tlist_array	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/asm/preproc.bc
hash_free_all	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/nasmlib/hashtbl.bc
make_tok_char	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/asm/preproc.bc
make_tok_num	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/asm/preproc.bc
make_tok_num_radix	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/asm/preproc.bc
make_tok_qstr_len	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/asm/preproc.bc
nasm_calloc	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/nasmlib/alloc.bc
nasm_free	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/nasmlib/alloc.bc
nasm_free_error	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/asm/error.bc
nasm_malloc	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/nasmlib/alloc.bc
nasm_quote	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/asm/quote.bc
nasm_quote_filename	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/asm/nasm.bc
nasm_realloc	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/nasmlib/alloc.bc
nasm_vaxprintf	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/nasmlib/asprintf.bc
nasm_z_alloc	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/asm/uncompress.bc
nasm_z_free	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/asm/uncompress.bc
new_Token	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/asm/preproc.bc
new_Token_free	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/asm/preproc.bc
new_mmacro	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/asm/preproc.bc
obj_new	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/output/outobj.bc
ol_new_sym	NOT_FOUND	-
os_free_filename	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/nasmlib/file.bc
perm_alloc	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/asm/labels.bc
perm_copy	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/asm/labels.bc
raa_free	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/nasmlib/raa.bc
saa_free	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/nasmlib/saa.bc
smacro_expand_default	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/asm/preproc.bc
stdmac_abs	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/asm/preproc.bc
stdmac_cond	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/asm/preproc.bc
stdmac_default	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/asm/preproc.bc
stdmac_num	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/asm/preproc.bc
stdmac_ptr	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/asm/preproc.bc
stdmac_sel	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/asm/preproc.bc
stdmac_selbits	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/asm/preproc.bc
stdscan_alloc	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/asm/stdscan.bc
stdscan_copy	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/asm/stdscan.bc
string_transform	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/asm/strfunc.bc
strlist_free	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/nasmlib/strlist.bc
tlist_filename	FOUND	/home/lxh/Projects/NSPA/workspace/nasm-bc/bc/asm/preproc.bc
xmalloc	NOT_FOUND	-
xrealloc	NOT_FOUND	-
