function	status	bc_file
RM_Alloc	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/src/module.bc
RM_BlockClientOnKeysWithFlags	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/src/module.bc
RM_Calloc	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/src/module.bc
RM_ClusterGetLocalSlotRanges	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/src/module.bc
RM_ConfigGet	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/src/module.bc
RM_ConfigIteratorCreate	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/src/module.bc
RM_CreateDict	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/src/module.bc
RM_CreateModuleUser	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/src/module.bc
RM_CreateString	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/src/module.bc
RM_CreateStringFromDouble	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/src/module.bc
RM_CreateStringFromLongDouble	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/src/module.bc
RM_CreateStringFromLongLong	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/src/module.bc
RM_CreateStringFromStreamID	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/src/module.bc
RM_CreateStringFromString	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/src/module.bc
RM_CreateStringFromULongLong	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/src/module.bc
RM_DictNext	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/src/module.bc
RM_Free	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/src/module.bc
RM_FreeClusterNodesList	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/src/module.bc
RM_GetCommandKeys	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/src/module.bc
RM_GetCommandKeysWithFlags	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/src/module.bc
RM_GetCurrentUserName	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/src/module.bc
RM_GetModuleUserFromUserName	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/src/module.bc
RM_GetServerInfo	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/src/module.bc
RM_HoldString	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/src/module.bc
RM_LoadDataTypeFromStringEncver	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/src/module.bc
RM_OpenKey	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/src/module.bc
RM_RdbStreamCreateFromFile	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/src/module.bc
RM_Realloc	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/src/module.bc
RM_SaveDataTypeToString	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/src/module.bc
RM_ServerInfoGetField	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/src/module.bc
RM_TryRealloc	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/src/module.bc
XXH_malloc	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/deps/xxhash/cachedObjs/0bbdc0621dbfbc4b44459cfe5d87b08c/xxhash.bc
XXH_malloc	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/deps/xxhash/cachedObjs/5eb6fa5e26c6b4007982c0a50fdb23c0/xxhash.bc
abFree	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/deps/linenoise/linenoise.bc
