function	status	bc_file
AddPerp	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/bc/canvas.bc
AddPerp	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/project.bc
CatExtra	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/bc/fileio.bc
CatExtra	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/project.bc
CreateLayout	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/bc/layout.bc
CreateLayout	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/project.bc
FindKtab	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/bc/process.bc
FindKtab	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/project.bc
FreeAltScreen	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/bc/resize.bc
FreeAltScreen	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/project.bc
FreeCanvas	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/bc/canvas.bc
FreeCanvas	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/project.bc
FreeMline	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/bc/resize.bc
FreeMline	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/project.bc
FreeWindowAcl	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/bc/acls.bc
FreeWindowAcl	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/project.bc
GrowBitfield	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/bc/acls.bc
GrowBitfield	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/project.bc
InputSu	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/bc/process.bc
InputSu	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/project.bc
LayerCleanupMemory	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/bc/layer.bc
LayerCleanupMemory	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/project.bc
MakeDisplay	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/bc/display.bc
MakeDisplay	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/project.bc
ReadFile	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/bc/fileio.bc
ReadFile	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/project.bc
SaveAction	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/bc/process.bc
SaveAction	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/project.bc
SaveArgs	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/bc/process.bc
SaveArgs	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/project.bc
SaveStr	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/bc/misc.bc
SaveStr	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/project.bc
SaveStrn	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/bc/misc.bc
SaveStrn	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/project.bc
UserAdd	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/bc/acls.bc
UserAdd	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/project.bc
UserDel	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/bc/acls.bc
UserDel	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/project.bc
UserFreeCopyBuffer	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/bc/acls.bc
UserFreeCopyBuffer	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/project.bc
glist_add_row	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/bc/list_generic.bc
glist_add_row	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/project.bc
logfopen	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/bc/logfile.bc
logfopen	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/project.bc
realloc	NOT_FOUND	-
recode_mline	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/bc/encoding.bc
recode_mline	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/project.bc
wmb_create	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/bc/winmsgbuf.bc
wmb_create	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/project.bc
wmbc_create	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/bc/winmsgbuf.bc
wmbc_create	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/project.bc
wmbc_free	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/bc/winmsgbuf.bc
wmbc_free	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/project.bc
xrealloc	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/bc/resize.bc
xrealloc	FOUND	/home/lxh/Projects/NSPA/workspace/screen-bc/project.bc
