function	status	bc_file
Action_new	NOT_FOUND	-
Fts5JniAux_alloc	NOT_FOUND	-
JimDefaultAllocator	NOT_FOUND	-
NativePointerHolder_new	NOT_FOUND	-
Plink_delete	NOT_FOUND	-
Plink_new	NOT_FOUND	-
S3JniDb_alloc	NOT_FOUND	-
S3JniHook__alloc	NOT_FOUND	-
S3JniUdf_alloc	NOT_FOUND	-
S3JniUdf_free	NOT_FOUND	-
SQLTester_dup_destructor	NOT_FOUND	-
SetNew	NOT_FOUND	-
State_arrayof	NOT_FOUND	-
State_new	NOT_FOUND	-
Symbol_arrayof	NOT_FOUND	-
Symbol_new	NOT_FOUND	-
acttab_alloc	NOT_FOUND	-
acttab_free	NOT_FOUND	-
blobListFree	NOT_FOUND	-
carrayConnect	NOT_FOUND	-
checkMutexAlloc	NOT_FOUND	-
columnNames	NOT_FOUND	-
copyToMalloc	NOT_FOUND	-
counterMutexAlloc	NOT_FOUND	-
counterMutexFree	NOT_FOUND	-
createVFile	NOT_FOUND	-
cube_context_free	NOT_FOUND	-
db_query	NOT_FOUND	-
db_query_free	NOT_FOUND	-
decimalNewFromText	FOUND	workspace/sqlite-bc/objects/build/tsrc/shell.bc
decimal_clear	FOUND	workspace/sqlite-bc/objects/build/tsrc/shell.bc
decimal_free	FOUND	workspace/sqlite-bc/objects/build/tsrc/shell.bc
decimal_new	FOUND	workspace/sqlite-bc/objects/build/tsrc/shell.bc
echoConstructor	NOT_FOUND	-
freeColumnList	FOUND	workspace/sqlite-bc/objects/build/tsrc/shell.bc
free_err	NOT_FOUND	-
free_test_auxdata	NOT_FOUND	-
fts3ContentColumns	FOUND	workspace/sqlite-bc/objects/build/tsrc/fts3.bc
fts3ExprParse	FOUND	workspace/sqlite-bc/objects/build/tsrc/fts3_expr.bc
fts3ExprParseUnbalanced	FOUND	workspace/sqlite-bc/objects/build/tsrc/fts3_expr.bc
fts3NodeFree	FOUND	workspace/sqlite-bc/objects/build/tsrc/fts3_write.bc
fts3ReadExprList	FOUND	workspace/sqlite-bc/objects/build/tsrc/fts3.bc
fts3ReallocOrFree	FOUND	workspace/sqlite-bc/objects/build/tsrc/fts3_expr.bc
fts3TermSegReaderCursor	FOUND	workspace/sqlite-bc/objects/build/tsrc/fts3.bc
fts3WriteExprList	FOUND	workspace/sqlite-bc/objects/build/tsrc/fts3.bc
fts5ConfigGobbleWord	FOUND	workspace/sqlite-bc/objects/build/tsrc/fts5.bc
fts5ExprPrintTcl	NOT_FOUND	-
fts5IndexFreeArray	FOUND	workspace/sqlite-bc/objects/build/tsrc/fts5.bc
fts5MatchinfoNew	NOT_FOUND	-
fts5ParseColset	FOUND	workspace/sqlite-bc/objects/build/tsrc/fts5.bc
getContent	NOT_FOUND	-
getIndexArray	NOT_FOUND	-
getNextNode	FOUND	workspace/sqlite-bc/objects/build/tsrc/fts3_expr.bc
getNextString	FOUND	workspace/sqlite-bc/objects/build/tsrc/fts3_expr.bc
getSqlStatement	NOT_FOUND	-
idxGetTableInfo	FOUND	workspace/sqlite-bc/objects/build/tsrc/shell.bc
lemon_calloc	NOT_FOUND	-
lemon_free_all	NOT_FOUND	-
lemon_malloc	NOT_FOUND	-
lemon_realloc	NOT_FOUND	-
local_getline	FOUND	workspace/sqlite-bc/objects/build/tsrc/shell.bc
namelistFree	NOT_FOUND	-
new_java_Fts5Context	NOT_FOUND	-
new_java_fts5_api	NOT_FOUND	-
new_java_sqlite3	NOT_FOUND	-
new_java_sqlite3_backup	NOT_FOUND	-
new_java_sqlite3_blob	NOT_FOUND	-
new_java_sqlite3_context	NOT_FOUND	-
new_java_sqlite3_stmt	NOT_FOUND	-
new_java_sqlite3_value	NOT_FOUND	-
newconfig	NOT_FOUND	-
portable_realpath	FOUND	workspace/sqlite-bc/objects/build/tsrc/shell.bc
print_and_free_err	NOT_FOUND	-
proxyCreateUnixFile	NOT_FOUND	-
qrfValidLayout	FOUND	workspace/sqlite-bc/objects/build/tsrc/shell.bc
quota_mbcs_free	NOT_FOUND	-
quota_utf8_to_mbcs	NOT_FOUND	-
rbuLoadState	FOUND	workspace/sqlite-bc/objects/build/tsrc/sqlite3rbu.bc
rbuObjIterGetIndexCols	FOUND	workspace/sqlite-bc/objects/build/tsrc/sqlite3rbu.bc
rbuVacuumIndexStart	FOUND	workspace/sqlite-bc/objects/build/tsrc/sqlite3rbu.bc
rbuVacuumTableStart	FOUND	workspace/sqlite-bc/objects/build/tsrc/sqlite3rbu.bc
re_compile	NOT_FOUND	-
re_free	NOT_FOUND	-
readFile	FOUND	workspace/sqlite-bc/objects/build/tsrc/shell.bc
read_content	NOT_FOUND	-
recoverInit	NOT_FOUND	-
recoverInsertStmt	NOT_FOUND	-
recoverLostAndFoundCreate	NOT_FOUND	-
recoverMPrintf	NOT_FOUND	-
reg_expanded_new_pattern	NOT_FOUND	-
s3jni__jstring_to_utf8	NOT_FOUND	-
s3jni_malloc_or_die	NOT_FOUND	-
s3jni_realloc_or_die	NOT_FOUND	-
safe_malloc	NOT_FOUND	-
safe_realloc	NOT_FOUND	-
seriesConnect	FOUND	workspace/sqlite-bc/objects/build/tsrc/shell.bc
sessionChangeMerge	NOT_FOUND	-
sessionChangegroupOutput	NOT_FOUND	-
sessionTableInfo	NOT_FOUND	-
sessionUpdateToDeleteInsert	NOT_FOUND	-
speedtest1_once	NOT_FOUND	-
sqlite3AllocateIndexObject	FOUND	workspace/sqlite-bc/objects/build/tsrc/build.bc
sqlite3ArrayAllocate	FOUND	workspace/sqlite-bc/objects/build/tsrc/build.bc
sqlite3ExprForVectorField	FOUND	workspace/sqlite-bc/objects/build/tsrc/expr.bc
sqlite3Fts5ConfigParse	FOUND	workspace/sqlite-bc/objects/build/tsrc/fts5.bc
sqlite3KeyInfoFromExprList	FOUND	workspace/sqlite-bc/objects/build/tsrc/select.bc
sqlite3MemFree	FOUND	workspace/sqlite-bc/objects/build/tsrc/mem1.bc
sqlite3MemMalloc	FOUND	workspace/sqlite-bc/objects/build/tsrc/mem1.bc
sqlite3PagerOpen	FOUND	workspace/sqlite-bc/objects/build/tsrc/pager.bc
sqlite3SelectNew	FOUND	workspace/sqlite-bc/objects/build/tsrc/select.bc
sqlite3_create_disposable_module	NOT_FOUND	-
sqlite3_create_filename	FOUND	workspace/sqlite-bc/objects/build/tsrc/main.bc
sqlite3_expert_destroy	FOUND	workspace/sqlite-bc/objects/build/tsrc/shell.bc
sqlite3_expert_new	FOUND	workspace/sqlite-bc/objects/build/tsrc/shell.bc
sqlite3_free	FOUND	workspace/sqlite-bc/objects/build/tsrc/malloc.bc
sqlite3_free_filename	FOUND	workspace/sqlite-bc/objects/build/tsrc/main.bc
sqlite3_free_table	FOUND	workspace/sqlite-bc/objects/build/tsrc/table.bc
sqlite3_get_table	FOUND	workspace/sqlite-bc/objects/build/tsrc/table.bc
sqlite3_intarray_create	NOT_FOUND	-
sqlite3_intck_close	FOUND	workspace/sqlite-bc/objects/build/tsrc/shell.bc
sqlite3_malloc	FOUND	workspace/sqlite-bc/objects/build/tsrc/malloc.bc
sqlite3_mutex_alloc	FOUND	workspace/sqlite-bc/objects/build/tsrc/mutex.bc
sqlite3_mutex_free	FOUND	workspace/sqlite-bc/objects/build/tsrc/mutex.bc
sqlite3_realloc	FOUND	workspace/sqlite-bc/objects/build/tsrc/malloc.bc
sqlite3_snapshot_free	NOT_FOUND	-
sqlite3_str_new	FOUND	workspace/sqlite-bc/objects/build/tsrc/printf.bc
sqlite3_value_dup	FOUND	workspace/sqlite-bc/objects/build/tsrc/vdbeapi.bc
sqlite3changegroup_delete	NOT_FOUND	-
sqlite3changegroup_new	NOT_FOUND	-
sqlite3rbu_close	FOUND	workspace/sqlite-bc/objects/build/tsrc/sqlite3rbu.bc
sqlite3rbu_destroy_vfs	FOUND	workspace/sqlite-bc/objects/build/tsrc/sqlite3rbu.bc
sqlite3rebaser_create	NOT_FOUND	-
sqlite3rebaser_delete	NOT_FOUND	-
sqlite3session_delete	NOT_FOUND	-
statGetPage	NOT_FOUND	-
tableColumnList	FOUND	workspace/sqlite-bc/objects/build/tsrc/shell.bc
testContextMalloc	NOT_FOUND	-
testGetByteArrayFromObj	NOT_FOUND	-
testpcacheCreate	NOT_FOUND	-
unionPrepare	NOT_FOUND	-
unionPreparePrintf	NOT_FOUND	-
unionSourceToStr	NOT_FOUND	-
vtablogConnectCreate	NOT_FOUND	-
vxworksFindFileId	NOT_FOUND	-
walIteratorInit	FOUND	workspace/sqlite-bc/objects/build/tsrc/wal.bc
win32_utf8_to_unicode	NOT_FOUND	-
winGetTempname	NOT_FOUND	-
zipfileDeflate	NOT_FOUND	-
