function	status	bc_file
args_copy	FOUND	workspace/tmux-bc/objects/arguments.bc
args_copy_copy_value	FOUND	workspace/tmux-bc/objects/arguments.bc
args_create	FOUND	workspace/tmux-bc/objects/arguments.bc
args_escape	FOUND	workspace/tmux-bc/objects/arguments.bc
args_free	FOUND	workspace/tmux-bc/objects/arguments.bc
args_free_value	FOUND	workspace/tmux-bc/objects/arguments.bc
args_free_values	FOUND	workspace/tmux-bc/objects/arguments.bc
args_from_vector	FOUND	workspace/tmux-bc/objects/arguments.bc
args_make_commands	FOUND	workspace/tmux-bc/objects/arguments.bc
args_make_commands_free	FOUND	workspace/tmux-bc/objects/arguments.bc
args_make_commands_get_command	FOUND	workspace/tmux-bc/objects/arguments.bc
args_make_commands_now	FOUND	workspace/tmux-bc/objects/arguments.bc
args_make_commands_prepare	FOUND	workspace/tmux-bc/objects/arguments.bc
args_parse	FOUND	workspace/tmux-bc/objects/arguments.bc
args_to_vector	FOUND	workspace/tmux-bc/objects/arguments.bc
asprintf	NOT_FOUND	-
clean_name	FOUND	workspace/tmux-bc/objects/tmux.bc
cmd_capture_pane_history	FOUND	workspace/tmux-bc/objects/cmd-capture-pane.bc
cmd_command_prompt_free	FOUND	workspace/tmux-bc/objects/cmd-command-prompt.bc
cmd_confirm_before_free	FOUND	workspace/tmux-bc/objects/cmd-confirm-before.bc
cmd_copy	FOUND	workspace/tmux-bc/objects/cmd.bc
cmd_copy_argv	FOUND	workspace/tmux-bc/objects/cmd.bc
cmd_display_panes_free	FOUND	workspace/tmux-bc/objects/cmd-display-panes.bc
cmd_free	FOUND	workspace/tmux-bc/objects/cmd.bc
cmd_free_argv	FOUND	workspace/tmux-bc/objects/cmd.bc
cmd_if_shell_free	FOUND	workspace/tmux-bc/objects/cmd-if-shell.bc
cmd_list_copy	FOUND	workspace/tmux-bc/objects/cmd.bc
cmd_list_free	FOUND	workspace/tmux-bc/objects/cmd.bc
cmd_list_new	FOUND	workspace/tmux-bc/objects/cmd.bc
cmd_list_print	FOUND	workspace/tmux-bc/objects/cmd.bc
cmd_parse	FOUND	workspace/tmux-bc/objects/cmd.bc
cmd_parse_do_buffer	FOUND	workspace/tmux-bc/objects/cmd-parse.bc
cmd_parse_do_file	FOUND	workspace/tmux-bc/objects/cmd-parse.bc
cmd_parse_free_argument	FOUND	workspace/tmux-bc/objects/cmd-parse.bc
cmd_parse_free_arguments	FOUND	workspace/tmux-bc/objects/cmd-parse.bc
cmd_parse_free_command	FOUND	workspace/tmux-bc/objects/cmd-parse.bc
cmd_parse_free_commands	FOUND	workspace/tmux-bc/objects/cmd-parse.bc
cmd_parse_new_commands	FOUND	workspace/tmux-bc/objects/cmd-parse.bc
cmd_parse_run_parser	FOUND	workspace/tmux-bc/objects/cmd-parse.bc
cmd_print	FOUND	workspace/tmux-bc/objects/cmd.bc
cmd_run_shell_free	FOUND	workspace/tmux-bc/objects/cmd-run-shell.bc
cmd_send_keys_inject_key	FOUND	workspace/tmux-bc/objects/cmd-send-keys.bc
cmd_send_keys_inject_string	FOUND	workspace/tmux-bc/objects/cmd-send-keys.bc
cmd_stringify_argv	FOUND	workspace/tmux-bc/objects/cmd.bc
cmd_wait_for_remove	FOUND	workspace/tmux-bc/objects/cmd-wait-for.bc
cmdq_copy_state	FOUND	workspace/tmux-bc/objects/cmd-queue.bc
cmdq_error_callback	FOUND	workspace/tmux-bc/objects/cmd-queue.bc
cmdq_free	FOUND	workspace/tmux-bc/objects/cmd-queue.bc
cmdq_free_state	FOUND	workspace/tmux-bc/objects/cmd-queue.bc
cmdq_new	FOUND	workspace/tmux-bc/objects/cmd-queue.bc
cmdq_new_state	FOUND	workspace/tmux-bc/objects/cmd-queue.bc
cmdq_remove	FOUND	workspace/tmux-bc/objects/cmd-queue.bc
colour_palette_clear	FOUND	workspace/tmux-bc/objects/colour.bc
colour_palette_free	FOUND	workspace/tmux-bc/objects/colour.bc
control_free_block	FOUND	workspace/tmux-bc/objects/control.bc
