function	status	bc_file
FreeWild	FOUND	workspace/vim-bc/objects/src/objects/filepath.bc
FullName_save	FOUND	workspace/vim-bc/objects/src/objects/filepath.bc
MultiByteToWideChar_alloc	NOT_FOUND	-
StringToLine	NOT_FOUND	-
VWL_FUNC_DATA_PROXY_DESTROY	NOT_FOUND	-
WideCharToMultiByte_alloc	NOT_FOUND	-
acp_to_enc	NOT_FOUND	-
add_channel	FOUND	workspace/vim-bc/objects/src/objects/channel.bc
add_classfuncs_objmethods	FOUND	workspace/vim-bc/objects/src/objects/vim9class.bc
add_members_to_class	FOUND	workspace/vim-bc/objects/src/objects/vim9class.bc
addstar	FOUND	workspace/vim-bc/objects/src/objects/cmdexpand.bc
alist_clear	FOUND	workspace/vim-bc/objects/src/objects/arglist.bc
alist_new	FOUND	workspace/vim-bc/objects/src/objects/arglist.bc
alloc	FOUND	workspace/vim-bc/objects/src/objects/alloc.bc
alloc_clear	FOUND	workspace/vim-bc/objects/src/objects/alloc.bc
alloc_clear_id	FOUND	workspace/vim-bc/objects/src/objects/alloc.bc
alloc_cmdbuff	FOUND	workspace/vim-bc/objects/src/objects/ex_getln.bc
alloc_func_type	FOUND	workspace/vim-bc/objects/src/objects/vim9type.bc
alloc_id	FOUND	workspace/vim-bc/objects/src/objects/alloc.bc
alloc_new_sign	FOUND	workspace/vim-bc/objects/src/objects/sign.bc
alloc_object	FOUND	workspace/vim-bc/objects/src/objects/vim9class.bc
alloc_printable_func_name	FOUND	workspace/vim-bc/objects/src/objects/userfunc.bc
alloc_state	FOUND	workspace/vim-bc/objects/src/objects/regexp.bc
alloc_string_tv	FOUND	workspace/vim-bc/objects/src/objects/typval.bc
alloc_tabpage	FOUND	workspace/vim-bc/objects/src/objects/window.bc
alloc_tuple_type	FOUND	workspace/vim-bc/objects/src/objects/vim9type.bc
alloc_tv	FOUND	workspace/vim-bc/objects/src/objects/typval.bc
alloc_type	FOUND	workspace/vim-bc/objects/src/objects/vim9type.bc
alloc_typebuf	FOUND	workspace/vim-bc/objects/src/objects/getchar.bc
alloc_ufunc	FOUND	workspace/vim-bc/objects/src/objects/userfunc.bc
append_generic_func_type_args	FOUND	workspace/vim-bc/objects/src/objects/vim9generics.bc
arg_all	FOUND	workspace/vim-bc/objects/src/objects/arglist.bc
au_cleanup	FOUND	workspace/vim-bc/objects/src/objects/autocmd.bc
au_event_disable	FOUND	workspace/vim-bc/objects/src/objects/autocmd.bc
au_new_group	FOUND	workspace/vim-bc/objects/src/objects/autocmd.bc
aubuflocal_remove	FOUND	workspace/vim-bc/objects/src/objects/autocmd.bc
autoload_name	FOUND	workspace/vim-bc/objects/src/objects/scriptfile.bc
backslash_halve_save	FOUND	workspace/vim-bc/objects/src/objects/charset.bc
blob_alloc	FOUND	workspace/vim-bc/objects/src/objects/blob.bc
blob_free	FOUND	workspace/vim-bc/objects/src/objects/blob.bc
blob_unref	FOUND	workspace/vim-bc/objects/src/objects/blob.bc
buf_copy_options	FOUND	workspace/vim-bc/objects/src/objects/option.bc
buf_delete_signs	FOUND	workspace/vim-bc/objects/src/objects/sign.bc
buf_delsign	FOUND	workspace/vim-bc/objects/src/objects/sign.bc
buf_freeall	FOUND	workspace/vim-bc/objects/src/objects/buffer.bc
buffer_new	NOT_FOUND	-
buflist_new	FOUND	workspace/vim-bc/objects/src/objects/buffer.bc
buflist_nr2name	FOUND	workspace/vim-bc/objects/src/objects/buffer.bc
build_argv_from_list	FOUND	workspace/vim-bc/objects/src/objects/misc2.bc
build_argv_from_string	FOUND	workspace/vim-bc/objects/src/objects/misc2.bc
build_drop_cmd	FOUND	workspace/vim-bc/objects/src/objects/clientserver.bc
channel_buffer_free	FOUND	workspace/vim-bc/objects/src/objects/channel.bc
channel_free	FOUND	workspace/vim-bc/objects/src/objects/channel.bc
channel_free_channel	FOUND	workspace/vim-bc/objects/src/objects/channel.bc
channel_free_contents	FOUND	workspace/vim-bc/objects/src/objects/channel.bc
channel_get	FOUND	workspace/vim-bc/objects/src/objects/channel.bc
channel_get_all	FOUND	workspace/vim-bc/objects/src/objects/channel.bc
channel_may_free	FOUND	workspace/vim-bc/objects/src/objects/channel.bc
channel_read_block	FOUND	workspace/vim-bc/objects/src/objects/channel.bc
channel_unref	FOUND	workspace/vim-bc/objects/src/objects/channel.bc
class_free	FOUND	workspace/vim-bc/objects/src/objects/vim9class.bc
class_free_nonref	FOUND	workspace/vim-bc/objects/src/objects/vim9class.bc
class_tv2string	FOUND	workspace/vim-bc/objects/src/objects/eval.bc
class_unref	FOUND	workspace/vim-bc/objects/src/objects/vim9class.bc
clean_listener_list	FOUND	workspace/vim-bc/objects/src/objects/change.bc
cleanup_function_call	FOUND	workspace/vim-bc/objects/src/objects/userfunc.bc
cleanup_vterm	FOUND	workspace/vim-bc/objects/src/objects/terminal.bc
clear_buf_prop_types	FOUND	workspace/vim-bc/objects/src/objects/textprop.bc
clear_cpt_callbacks	FOUND	workspace/vim-bc/objects/src/objects/insexpand.bc
clear_def_function	FOUND	workspace/vim-bc/objects/src/objects/vim9compile.bc
clear_evalarg	FOUND	workspace/vim-bc/objects/src/objects/eval.bc
